"","long","lat","site.name"
"1",-149.890588051855,-17.4854499188357,"site 1"
"2",-149.789833897327,-17.5856707512377,"site 2"
"3",-149.832224697528,-17.6020919381955,"site 3"
"4",-149.860853208079,-17.590836631504,"site 4"
"5",-149.877377474513,-17.5751942371553,"site 5"
"6",-149.880408064763,-17.5684473540267,"site 6"
"7",-149.900865026282,-17.5454562504244,"site 7"
"8",-149.907007569479,-17.5385672481143,"site 8"
"9",-149.924564541286,-17.5112172789739,"site 9"
"10",-149.922007459473,-17.4924773484658,"site 10"
"11",-149.854858663787,-17.4879509132123,"site 11"
"12",-149.832327365448,-17.4776318444843,"site 12"
"13",-149.818532851621,-17.4768556573808,"site 13"
"14",-149.795181302489,-17.4760487506088,"site 14"
"15",-149.762458466964,-17.5087587552661,"site 15"
"16",-149.76391867399,-17.519409027868,"site 16"
"17",-149.765861044373,-17.541022873985,"site 17"
"18",-149.784461562954,-17.5656765010213,"site 18"
