well,fragment_ID
A1,BK
A2,BK
A3,POC-149
A4,POC-149
A5,POC-150
A6,POC-150
A7,POC-151
A8,POC-151
A9,POC-152
A10,POC-152
A11,POC-154
A12,POC-154
B1,POC-155
B2,POC-155
B3,POC-156
B4,POC-156
B5,POC-157
B6,POC-157
B7,POC-159
B8,POC-159
B9,POC-160
B10,POC-160
B11,POC-161
B12,POC-161
C1,POC-162
C2,POC-162
C3,POC-164
C4,POC-164
C5,POC-165
C6,POC-165
C7,POC-166
C8,POC-166
C9,POC-167
C10,POC-167
C11,POC-168
C12,POC-168
D1,POC-169
D2,POC-169
D3,POC-170
D4,POC-170
D5,POC-171
D6,POC-171
D7,POC-172
D8,POC-172
D9,POC-173
D10,POC-173
D11,POC-174
D12,POC-174
E1,POC-175
E2,POC-175
E3,POC-177
E4,POC-177
E5,POC-178
E6,POC-178
E7,POC-179
E8,POC-179
E9,POC-180
E10,POC-180
E11,POC-181
E12,POC-181
F1,POC-182
F2,POC-182
F3,POC-183
F4,POC-183
F5,POC-184
F6,POC-184
F7,NA
F8,NA
F9,NA
F10,NA
F11,NA
F12,NA
G1,NA
G2,NA
G3,NA
G4,NA
G5,NA
G6,NA
G7,NA
G8,NA
G9,NA
G10,NA
G11,NA
G12,NA
H1,NA
H2,NA
H3,NA
H4,NA
H5,NA
H6,NA
H7,NA
H8,NA
H9,NA
H10,NA
H11,NA
H12,NA
