,1,2,3,4,5,6,7,8,9,10,11,12
A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E,1.678,1.438,1.052,0.858,0.623,0.366,0.22,0.102,0.078,0.827,0.489,0.487
F,1.867,1.378,0.951,0.724,0.608,0.359,0.224,0.098,0.079,0.888,0.465,0.495
G,0.835,0.67,0.828,0.407,0.757,0.563,1.052,0.708,0.609,0.98,0.75,0.52
H,0.91,0.692,0.853,0.433,0.778,0.585,1.035,0.738,0.634,1.031,0.799,0.547
