Pan.ID,colony_id,partner,initial.mass.g,dry.pan.mass.g,burnt.pan.mass.g
95,POC-149,Host,1.1445,1.2122,1.2
153,POC-149,Sym,1.1304,1.1456,1.1418
28,POC-150,Host,1.1279,1.2022,1.1847
151,POC-150,Sym,1.1582,1.18,1.1705
45,POC-151,Sym,1.1555,1.1742,1.1685
138,POC-151,Host,1.1217,1.1823,1.1751
91,POC-152,Sym,1.1239,1.1435,1.1364
292,POC-152,Host,1.12,1.1717,1.1667
110,POC-154,Host,1.15,1.2099,1.2012
192,POC-154,Sym,1.1464,1.1598,1.1578
68,POC-155,Sym,1.1557,1.171,1.1675
121,POC-155,Host,1.1283,1.205,1.1934
93,POC-156,Host,1.1197,1.1982,1.1832
187,POC-156,Sym,1.1592,1.1795,1.1715
123,POC-157,Host,1.1477,1.2132,1.1988
276,POC-157,Sym,1.1182,1.1392,1.1305
50,POC-159,Sym,1.1464,1.1798,1.1607
96,POC-159,Host,1.1618,1.2452,1.2198
24,POC-160,Host,1.138,1.207,1.19
29,POC-160,Sym,1.1508,1.1692,1.1622
46,POC-161,Sym,1.1402,1.1608,1.1528
145,POC-161,Host,1.142,1.1987,1.1839
54,POC-162,Sym,1.1459,1.1638,1.1582
102,POC-162,Host,1.1508,1.228,1.2068
17,POC-164,Host,1.1503,1.2278,1.2107
42,POC-164,Sym,1.1327,1.152,1.1451
76,POC-165,Host,1.1478,1.2207,1.2041
176,POC-165,Sym,1.131,1.1513,1.1429
31,POC-166,Host,1.1502,1.2325,1.208
98,POC-166,Sym,1.1488,1.1669,1.1604
149,POC-167,Sym,1.1342,1.1519,1.1453
174,POC-167,Host,1.1429,1.2123,1.1971
219,POC-168,Host,1.1331,1.206,1.1904
253,POC-168,Sym,1.1263,1.1466,1.1379
109,POC-169,Sym,1.1534,1.1719,1.1657
282,POC-169,Host,1.1612,1.2368,1.2186
61,POC-170,Host,1.1433,1.2294,1.2044
97,POC-170,Sym,1.1214,1.1385,1.1333
72,POC-171,Sym,1.1427,1.1584,1.1543
107,POC-171,Host,1.1256,1.1954,1.1791
212,POC-172,Host,1.1235,1.1933,1.1784
277,POC-172,Sym,1.1398,1.1625,1.1526
58,POC-173,Host,1.1374,1.2315,1.2009
75,POC-173,Sym,1.1414,1.163,1.154
104,POC-174,Sym,1.1407,1.1601,1.1537
285,POC-174,Host,1.1261,1.1916,1.1816
88,POC-175,Sym,1.1441,1.2095,1.1531
101,POC-175,Host,1.1473,1.2269,1.2042
223,POC-177,Sym,1.145,1.1609,1.1403
239,POC-177,Host,1.1502,1.22,1.2014
60,POC-178,Sym,1.1378,1.1583,1.1496
203,POC-178,Host,1.1576,1.2302,1.2134
114,POC-179,Host,1.1367,1.211,1.1878
167,POC-179,Sym,1.1284,1.1444,1.1398
2,POC-180,Sym,1.144,1.1609,1.1555
166,POC-180,Host,1.1552,1.2258,1.2098
21,POC-181,Host,1.1519,1.218,1.2037
85,POC-181,Sym,1.1536,1.1672,1.1644
39,POC-182,Host,1.1331,1.2049,1.187
113,POC-182,Sym,1.1377,1.1545,1.1494
117,POC-183,Sym,1.1212,1.1383,1.1327
286,POC-183,Host,1.1244,1.1939,1.1776
12,POC-184,Host,1.412,1.2177,1.1973
22,POC-184,Sym,1.1489,1.1657,1.1609
