fragment_ID,homog_vol_ml,date_airbrushed,Timepoint,initials,note
POC-169,20,20220802,May,DMBP,
POC-149,17.5,20220802,May,DMBP,
POC-152,17.5,20220802,May,DMBP,
POC-164,20,20220802,May,DMBP,
POC-182,32.5,20220802,May,DMBP,
POC-172,30,20220802,May,DMBP,
POC-163,22.5,20220802,May,DMBP,
POC-167,22.5,20220802,May,DMBP,
POC-180,27,20220802,May,DMBP,
POC-150,22.5,20220802,May,DMBP,
POC-175,21,20220802,May,DMBP,
POC-154,7.5,20220802,May,DMBP,very small frag
POC-166,20,20220802,May,DMBP,
POC-159,20,20220802,May,DMBP,
POC-170,16,20220802,May,DMBP,
POC-162,26,20220802,May,DMBP,
POC-156,35,20220802,May,DMBP,
POC-173,30,20220802,May,DMBP,
POC-155,25,20220802,May,DMBP,
POC-179,22.5,20220802,May,DMBP,
POC-177,17.5,20220802,May,DMBP,
POC-157,20,20220802,May,DMBP,
POC-184,15,20220802,May,DMBP,
POC-171,25,20220802,May,DMBP,
POC-151,10,20220802,May,DMBP,very small frag
POC-161,26,20220802,May,DMBP,
POC-183,35,20220802,May,DMBP,
POC-168,22.5,20220802,May,DMBP,
POC-174,26,20220802,May,DMBP,
POC-165,25,20220802,May,DMBP,
POC-181,20,20220802,May,DMBP,
POC-178,30,20220802,May,DMBP,
POC-150,37,20230613,Dec,HP,
POC-154,43,20230613,Dec,HP,
POC-156,66,20230613,Dec,HP,
POC-157,42,20230613,Dec,HP,
POC-159,NA,20230613,Dec,HP,sample missing in freezer
POC-162,30,20230613,Dec,HP,
POC-165,22,20230613,Dec,HP,
POC-167,25,20230613,Dec,HP,
POC-168,35,20230613,Dec,HP,
POC-169,42,20230613,Dec,HP,
POC-174,19,20230613,Dec,HP,
POC-175,32,20230613,Dec,HP,
POC-178,42,20230613,Dec,HP,
POC-179,19,20230613,Dec,HP,
POC-181,18,20230613,Dec,HP,
POC-178.2,72,20230613,Dec,HP,
