fragment_ID,Sample,Diameter,weight1.g,weight2.g
1,Standard,,,
2,Standard,,,
3,Standard,,,
4,Standard,,,
5,Standard,,,
6,Standard,,,
7,Standard,,,
POC-150-22,Coral,NA,,
POC-150-25,Coral,NA,,
POC-150-28,Coral,NA,,
POC-150-30,Coral,NA,,
POC-150-32,Coral,NA,,
POC-150-36,Coral,NA,,
POC-154-22,Coral,NA,,
POC-154-25,Coral,NA,,
POC-154-28,Coral,NA,,
POC-154-30,Coral,NA,,
POC-154-32,Coral,NA,,
POC-154-36,Coral,NA,,
POC-156-22,Coral,NA,,
POC-156-25,Coral,NA,,
POC-156-28,Coral,NA,,
POC-156-30,Coral,NA,,
POC-156-32,Coral,NA,,
POC-156-36,Coral,NA,,
POC-157-22,Coral,NA,,
POC-157-25,Coral,NA,,
POC-157-28,Coral,NA,,
POC-157-30,Coral,NA,,
POC-157-32,Coral,NA,,
POC-157-36,Coral,NA,,
POC-159-22,Coral,NA,,
POC-159-25,Coral,NA,,
POC-159-28,Coral,NA,,
POC-159-30,Coral,NA,,
POC-159-32,Coral,NA,,
POC-159-36,Coral,NA,,
POC-162-22,Coral,NA,,
POC-162-25,Coral,NA,,
POC-162-28,Coral,NA,,
POC-162-30,Coral,NA,,
POC-162-32,Coral,NA,,
POC-162-36,Coral,NA,,
POC-165-22,Coral,NA,,
POC-165-25,Coral,NA,,
POC-165-28,Coral,NA,,
POC-165-30,Coral,NA,,
POC-165-32,Coral,NA,,
POC-165-36,Coral,NA,,
POC-167-22,Coral,NA,,
POC-167-25,Coral,NA,,
POC-167-28,Coral,NA,,
POC-167-30,Coral,NA,,
POC-167-32,Coral,NA,,
POC-167-36,Coral,NA,,
POC-168-22,Coral,NA,,
POC-168-25,Coral,NA,,
POC-168-28,Coral,NA,,
POC-168-30,Coral,NA,,
POC-168-32,Coral,NA,,
POC-168-36,Coral,NA,,
POC-169-22,Coral,NA,,
POC-169-25,Coral,NA,,
POC-169-28,Coral,NA,,
POC-169-30,Coral,NA,,
POC-169-32,Coral,NA,,
POC-169-36,Coral,NA,,
POC-174-22,Coral,NA,,
POC-174-25,Coral,NA,,
POC-174-28,Coral,NA,,
POC-174-30,Coral,NA,,
POC-174-32,Coral,NA,,
POC-174-36,Coral,NA,,
POC-175-22,Coral,NA,,
POC-175-25,Coral,NA,,
POC-175-28,Coral,NA,,
POC-175-30,Coral,NA,,
POC-175-32,Coral,NA,,
POC-175-36,Coral,NA,,
POC-178-22,Coral,NA,,
POC-178-25,Coral,NA,,
POC-178-28,Coral,NA,,
POC-178-30,Coral,NA,,
POC-178-32,Coral,NA,,
POC-178-36,Coral,NA,,
POC-179-22,Coral,NA,,
POC-179-25,Coral,NA,,
POC-179-28,Coral,NA,,
POC-179-30,Coral,NA,,
POC-179-32,Coral,NA,,
POC-179-36,Coral,NA,,
POC-181-22,Coral,NA,,
POC-181-25,Coral,NA,,
POC-181-28,Coral,NA,,
POC-181-30,Coral,NA,,
POC-181-32,Coral,NA,,
POC-181-36,Coral,NA,,
POC-183-22,Coral,NA,,
POC-183-25,Coral,NA,,
POC-183-28,Coral,NA,,
POC-183-30,Coral,NA,,
POC-183-32,Coral,NA,,
POC-183-36,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
,Coral,NA,,
