well,fragment_ID,fraction,notes
A1,NA,NA,NA
A2,NA,NA,NA
A3,NA,NA,NA
A4,NA,NA,NA
A5,NA,NA,NA
A6,NA,NA,NA
A7,NA,NA,NA
A8,NA,NA,NA
A9,NA,NA,NA
A10,NA,NA,NA
A11,NA,NA,NA
A12,NA,NA,NA
B1,NA,NA,NA
B2,NA,NA,NA
B3,NA,NA,NA
B4,NA,NA,NA
B5,NA,NA,NA
B6,NA,NA,NA
B7,NA,NA,NA
B8,NA,NA,NA
B9,NA,NA,NA
B10,NA,NA,NA
B11,NA,NA,NA
B12,NA,NA,NA
C1,NA,NA,NA
C2,NA,NA,NA
C3,NA,NA,NA
C4,NA,NA,NA
C5,NA,NA,NA
C6,NA,NA,NA
C7,NA,NA,NA
C8,NA,NA,NA
C9,NA,NA,NA
C10,NA,NA,Debris in well
C11,NA,NA,NA
C12,NA,NA,NA
D1,NA,NA,NA
D2,NA,NA,NA
D3,NA,NA,NA
D4,NA,NA,NA
D5,NA,NA,NA
D6,NA,NA,NA
D7,NA,NA,NA
D8,NA,NA,NA
D9,NA,NA,NA
D10,NA,NA,NA
D11,NA,NA,NA
D12,NA,NA,NA
E1,StandardA,Host,NA
E2,StandardB,Host,NA
E3,StandardC,Host,NA
E4,StandardD,Host,NA
E5,StandardE,Host,NA
E6,StandardF,Host,NA
E7,StandardG,Host,NA
E8,StandardH,Host,NA
E9,StandardI,Host,NA
E10,POC-157,Host,NA
E11,POC-169,Host,NA
E12,POC-167,Host,NA
F1,StandardA,Host,NA
F2,StandardB,Host,NA
F3,StandardC,Host,NA
F4,StandardD,Host,NA
F5,StandardE,Host,NA
F6,StandardF,Host,NA
F7,StandardG,Host,NA
F8,StandardH,Host,NA
F9,StandardI,Host,NA
F10,POC-157,Host,NA
F11,POC-169,Host,NA
F12,POC-167,Host,NA
G1,POC-178,Host,NA
G2,POC-156,Host,NA
G3,POC-178.2,Host,NA
G4,POC-175,Host,NA
G5,POC-162,Host,NA
G6,POC-150,Host,NA
G7,POC-179,Host,NA
G8,POC-165,Host,NA
G9,POC-168,Host,NA
G10,POC-181,Host,NA
G11,POC-154,Host,NA
G12,POC-174,Host,NA
H1,POC-178,Host,NA
H2,POC-156,Host,NA
H3,POC-178.2,Host,NA
H4,POC-175,Host,NA
H5,POC-162,Host,NA
H6,POC-150,Host,NA
H7,POC-179,Host,NA
H8,POC-165,Host,NA
H9,POC-168,Host,NA
H10,POC-181,Host,NA
H11,POC-154,Host,NA
H12,POC-174,Host,NA
