Sample.ID,Site,Transect,Diameter.1,Diameter.2,Diameter.3,Diameter.mean,Note
POC-200-T1,Manava ,1,22.265,21.9,19.797,,
POC-201-T1,Manava ,1,9.733,7.966,5.468,,
POC-202-T1,Manava ,1,6.733,5.31,5.501,,
POC-203-T1,Manava ,1,13.954,11.794,11.375,,
POC-204-T1,Manava ,1,15.818,17.471,14.72,,
POC-205-T1,Manava ,1,9.078,9.088,9.949,,
POC-206-T1,Manava ,1,14.967,17.258,15.878,,
POC-207-T1,Manava ,1,25.345,14.752,23.752,,
POC-208-T1,Manava ,1,16.586,16.318,9.469,,
POC-225-T1,Manava ,1,6.388,6.53,7.379,,
POC-209-T2,Manava ,2,11.58,13.153,13.898,,
POC-210-T2,Manava ,2,20.045,23.004,14.664,,
POC-211-T2,Manava ,2,7.446,7.683,2.28,,
POC-212-T2,Manava ,2,13.569,14.235,10.89,,
POC-213-T2,Manava ,2,8.008,8.197,8.099,,
POC-214-T2,Manava ,2,15.83,9.482,13.636,,
POC-215-T2,Manava ,2,18.761,14.662,17.121,,
POC-216-T2,Manava ,2,18.109,11.906,15.993,,
POC-217-T2,Manava ,2,17.213,12.293,10.57,,
POC-218-T2,Manava ,2,13.296,8.813,12.785,,
POC-219-T2,Manava ,2,9.808,14.251,13.999,,
POC-220-T2,Manava ,2,12.872,14.794,13.913,,
POC-238-T3,Manava ,2,20.322,20.217,20.026,,
POC-221-T3,Manava ,3,8.799,4.235,8.454,,
POC-222-T3,Manava ,3,19.218,18.636,16.843,,
POC-223-T3,Manava ,3,22.955,15.62,20.242,,
POC-224-T3,Manava ,3,13.147,11.548,12.301,,
POC-226-T3,Manava ,3,12.729,16.179,14.682,,
POC-227-T3,Manava ,3,8.936,4.555,8.323,,
POC-228-T3,Manava ,3,20.933,13.635,18.855,,
POC-229-T3,Manava ,3,100,100,100,,
POC-230-T3,Manava ,3,21.829,9.946,17.716,,
POC-231-T3,Manava ,3,17.034,15.24,15.875,,
POC-232-T3,Manava ,3,13.13,12.752,13.499,,
POC-233-T3,Manava ,3,20.171,15.46,13.303,,
POC-234-T3,Manava ,3,3.732,3.714,3.129,,
POC-235-T3,Manava ,3,12.689,8.853,12.271,,
POC-236-T3,Manava ,3,9.961,8.387,8.654,,
POC-237-T3,Manava ,3,6.962,7.424,7.418,,
POC-243-T4,Manava ,4,13.073,8.279,11.103,,
POC-244-T4,Manava ,4,19.075,18.218,11.076,,
POC-245-T4,Manava ,4,100,100,100,,
POC-246-T4,Manava ,4,100,100,100,,
POC-247-T4,Manava ,4,15.532,20.982,13.654,,
POC-248-T4,Manava ,4,7.4,8.375,7.275,,
POC-249-T4,Manava ,4,11.24,13.508,13.355,,
POC-275-T4,Manava ,4,4.704,4.45,3.05,,
POC-276-T4,Manava ,4,7.568,9.473,10.206,,
POC-277-T4,Manava ,4,100,100,100,,
POC-278-T4,Manava ,4,100,100,100,,
POC-279-T4,Manava ,4,7.665,5.862,6.749,,
POC-280-T4,Manava ,4,16.053,19.137,22.218,,
POC-281-T4,Manava ,4,100,100,100,,
POC-282-T4,Manava ,4,22.563,12.67,20.59,,
POC-283-T4,Manava ,4,100,100,100,,
POC-284-T4,Manava ,4,13.255,10.749,17.418,,
POC-285-T4,Manava ,4,100,100,100,,
POC-286-T4,Manava ,4,27.222,12.052,25.104,,
POC-287-T4,Manava ,4,25.489,11.854,20.258,,
POC-288-T4,Manava ,4,16.724,15.53,9.102,,
POC-289-T4,Manava ,4,4.53,3.192,3.486,,
POC-290-T4,Manava ,4,24.09,22.063,10.859,,
POC-291-T4,Manava ,4,9.036,7.734,9.027,,
POC-292-T4,Manava ,4,21.836,19.082,12.113,,
POC-293-T4,Manava ,4,7.391,6.421,7.523,,
POC-294-T4,Manava ,4,5.606,2.647,4.33,,
POC-295-T4,Manava ,4,5.198,4.106,4.59,,
POC-296-T4,Manava ,4,14.536,7.743,9.049,,
POC-250-T5,Manava ,5,12.629,5.03,11.004,,
POC-251-T5,Manava ,5,8.046,12.325,12.272,,
POC-252-T5,Manava ,5,8.727,7.177,8.64,,
POC-253-T5,Manava ,5,10.826,9.854,10.622,,
POC-254-T5,Manava ,5,33.961,29.904,12.956,,
POC-255-T5,Manava ,5,14.164,14.6,13.409,,
POC-256-T5,Manava ,5,100,100,100,,
POC-257-T5,Manava ,5,26.815,19.567,29.86,,
POC-258-T5,Manava ,5,100,100,100,,
POC-259-T5,Manava ,5,16.616,12.903,13.395,,
POC-260-T5,Manava ,5,10.444,8.412,9.256,,
POC-261-T5,Manava ,5,20.387,25.24,19.011,,
POC-262-T5,Manava ,5,18.824,20.485,14.8,,
POC-263-T5,Manava ,5,3.079,3.711,3.222,,
POC-264-T5,Manava ,5,15.833,14.805,12.957,,
POC-265-T5,Manava ,5,17.234,18.364,12.668,,
POC-266-T5,Manava ,5,4.839,4.137,3.621,,
POC-267-T5,Manava ,5,12.008,10.132,11.222,,
POC-268-T5,Manava ,5,25.309,21.875,25.3,,
POC-269-T5,Manava ,5,2.088,2.15,2.006,,
