fragment_ID,Timepoint,Sample,Diameter,weight1.g,weight2.g,weight3.g,Notes
1,May,Standard,7.44,140.1,144.321,NA,NA
2,May,Standard,6.22,90.39,94.226,NA,NA
3,May,Standard,5.08,44.092,46.408,NA,NA
4,May,Standard,3.16,12.281,12.966,NA,NA
5,May,Standard,2.52,6.284,6.691,NA,NA
6,May,Standard,1.9,2.708,2.899,NA,NA
7,May,Standard,1.18,0.537,0.588,NA,NA
POC-149,May,Coral,NA,5.218,5.799,NA,NA
POC-150,May,Coral,NA,12.556,13.564,NA,NA
POC-151,May,Coral,NA,4.054,4.282,NA,NA
POC-152,May,Coral,NA,9.013,9.719,NA,NA
POC-154,May,Coral,NA,0.906,1.021,NA,NA
POC-155,May,Coral,NA,7.197,7.604,NA,NA
POC-156,May,Coral,NA,16.218,17.461,NA,NA
POC-157,May,Coral,NA,8.464,9.034,NA,NA
POC-159,May,Coral,NA,16.892,18.232,NA,NA
POC-163,May,Coral,NA,10.667,11.469,NA,NA
POC-161,May,Coral,NA,7.819,8.511,NA,NA
POC-162,May,Coral,NA,15.934,17.21,NA,NA
POC-164,May,Coral,NA,8.768,9.647,NA,NA
POC-165,May,Coral,NA,13.843,14.887,NA,NA
POC-166,May,Coral,NA,11.221,12.261,NA,NA
POC-167,May,Coral,NA,10.651,11.323,NA,NA
POC-168,May,Coral,NA,13.719,14.691,NA,NA
POC-169,May,Coral,NA,13.1,14.077,NA,NA
POC-170,May,Coral,NA,11.859,12.658,NA,NA
POC-171,May,Coral,NA,13.211,14.212,NA,NA
POC-172,May,Coral,NA,15.174,16.222,NA,NA
POC-173,May,Coral,NA,23.935,25.812,NA,NA
POC-174,May,Coral,NA,15.174,16.159,NA,NA
POC-175,May,Coral,NA,9.239,10.112,NA,NA
POC-177,May,Coral,NA,6.588,7.11,NA,NA
POC-178,May,Coral,NA,15.109,16.059,NA,NA
POC-179,May,Coral,NA,11.226,12.043,NA,NA
POC-180,May,Coral,NA,6.707,7.431,NA,NA
POC-181,May,Coral,NA,9.207,9.951,NA,NA
POC-182,May,Coral,NA,15.177,16.437,NA,NA
POC-183,May,Coral,NA,12.992,13.881,NA,NA
POC-184,May,Coral,NA,7.558,8.321,NA,NA
