fragment_ID,Sample,Diameter,weight1.g,weight2.g
POC-152-30,Coral,NA,14.281,15.256
POC-149-36,Coral,NA,14.087,15.447
POC-150-36,Coral,NA,50.017,52.25
POC-151-36,Coral,NA,77.228,80.451
POC-152-36,Coral,NA,14.55,15.617
POC-149-22,Coral,NA,25.868,28.449
POC-150-22,Coral,NA,41.03,44.042
POC-151-22,Coral,NA,90.855,95.143
POC-152-22,Coral,NA,13.526,14.42
POC-149-28,Coral,NA,24.401,26.508
POC-150-28,Coral,NA,27.911,29.907
POC-151-28,Coral,NA,70.901,74.103
POC-152-28,Coral,NA,21.826,23.388
POC-149-32,Coral,NA,9.006,9.917
POC-150-32,Coral,NA,20.195,21.725
POC-151-32,Coral,NA,20.865,21.99
POC-152-32,Coral,NA,24.375,26.01
POC-156-30,Coral,NA,54.045,58.157
POC-157-30,Coral,NA,18.073,19.366
POC-154-32,Coral,NA,9.869,10.589
POC-155-32,Coral,NA,44.206,47.551
POC-156-32,Coral,NA,41.34,44.505
POC-157-32,Coral,NA,28.571,30.284
POC-154-28,Coral,NA,13.471,14.487
POC-155-28,Coral,NA,9.495,10.219
POC-156-28,Coral,NA,23.934,25.735
POC-157-28,Coral,NA,22.387,24.098
POC-154-25,Coral,NA,28.634,30.65
POC-155-25,Coral,NA,13.278,14.317
POC-156-25,Coral,NA,21.055,22.568
POC-157-25,Coral,NA,28.585,30.757
POC-154-22,Coral,NA,16.077,17.416
POC-155-22,Coral,NA,17.346,18.709
POC-156-22,Coral,NA,28.699,30.904
POC-157-22,Coral,NA,25.658,27.459
POC-154-36,Coral,NA,41.912,45.446
POC-155-36,Coral,NA,20.439,21.952
POC-156-36,Coral,NA,10.425,11.089
POC-157-36,Coral,NA,28.208,30.566
POC-154-30,Coral,NA,7.273,7.854
POC-155-30,Coral,NA,11.073,11.989
POC-170-28,Coral,NA,27.724,29.521
POC-169-30,Coral,NA,47.087,49.543
POC-168-32,Coral,NA,38.671,40.979
POC-170-25,Coral,NA,49.889,52.949
POC-168-25,Coral,NA,29.383,30.949
POC-168-22,Coral,NA,24.301,25.664
POC-171-22,Coral,NA,27.498,29.223
POC-171-25,Coral,NA,28.346,30.276
POC-168-28,Coral,NA,18.797,19.716
POC-170-36,Coral,NA,22.937,24.469
POC-170-22,Coral,NA,14.909,15.769
POC-171-28,Coral,NA,24.65,26.114
POC-168-36,Coral,NA,52.042,56.026
POC-170-32,Coral,NA,9.349,9.92
POC-169-22,Coral,NA,28.762,30.82
POC-171-30,Coral,NA,36.375,38.706
POC-169-36,Coral,NA,58.273,61.831
POC-171-36,Coral,NA,27.046,29.117
POC-169-25,Coral,NA,30.728,32.406
POC-171-32,Coral,NA,46.526,49.062
POC-165-30,Coral,NA,54.512,57.882
POC-168-30,Coral,NA,35.411,37.898
POC-159-32,Coral,NA,46.806,49.825
POC-163-28,Coral,NA,45.759,48.31
POC-161-36,Coral,NA,6.27,6.727
POC-164-30,Coral,NA,33.026,35.701
POC-162-36,Coral,NA,22.548,23.625
POC-159-28,Coral,NA,32.953,34.803
POC-162-28,Coral,NA,24.833,26.418
POC-164-32,Coral,NA,18.286,19.988
POC-169-28,Coral,NA,22.192,23.744
POC-162-22,Coral,NA,33.137,35.618
POC-163-22,Coral,NA,38.066,40.352
POC-164-28,Coral,NA,25.194,27.26
POC-166-25,Coral,NA,24.85,26.891
POC-170-30,Coral,NA,16.958,18.017
POC-161-22,Coral,NA,37.563,40.59
POC-161-28,Coral,NA,19.685,21.37
POC-161-25,Coral,NA,27.006,29.2
POC-164-25,Coral,NA,15.644,16.867
POC-159-30,Coral,NA,25.779,27.263
POC-167-25,Coral,NA,34.871,36.951
POC-163-32,Coral,NA,72.509,76.59
POC-163-25,Coral,NA,42.301,45.027
POC-164-36,Coral,NA,14.16,15.382
POC-161-30,Coral,NA,29.126,31.271
POC-159-36,Coral,NA,36.937,39.165
POC-166-30,Coral,NA,14.299,15.63
POC-166-36,Coral,NA,52.813,56.53
POC-167-22,Coral,NA,32.272,34.036
POC-159-22,Coral,NA,65.031,68.738
POC-167-28,Coral,NA,56.58,59.947
POC-161-32,Coral,NA,13.142,14.162
POC-167-36,Coral,NA,74.025,78.287
POC-166-22,Coral,NA,22.686,24.481
POC-162-30,Coral,NA,23.721,25.374
POC-167-32,Coral,NA,16.416,17.416
POC-164-32,Coral,NA,18.119,19.569
POC-165-36,Coral,NA,64.037,67.963
POC-162-25,Coral,NA,24.569,26.292
POC-162-32,Coral,NA,34.466,37.119
POC-166-32,Coral,NA,45.236,48.893
POC-165-25,Coral,NA,32.218,34.171
POC-159-25,Coral,NA,28.177,29.82
POC-165-32,Coral,NA,58.044,61.631
POC-165-22,Coral,NA,28.111,29.836
POC-165-28,Coral,NA,70.942,74.983
POC-167-30,Coral,NA,51.434,54.639
POC-163-30,Coral,NA,24.87,26.23
POC-163-36,Coral,NA,61.109,64.295
POC-166-28,Coral,NA,30.144,32.653
