"","fragment_ID","micromol.cm2.h","mtORF","Temp.Cat","Timepoint","measure"
"1","POC-150",-0.34519813489755,"Haplotype_1a","22","Dec","Resp"
"2","POC-150",-0.416791024609321,"Haplotype_1a","25","Dec","Resp"
"3","POC-150",-0.378463223241608,"Haplotype_1a","28","Dec","Resp"
"4","POC-150",-0.543096055717661,"Haplotype_1a","30","Dec","Resp"
"5","POC-150",-0.541803728950849,"Haplotype_1a","32","Dec","Resp"
"6","POC-150",-0.703328834459788,"Haplotype_1a","36","Dec","Resp"
"7","POC-154",-0.307496532368591,"P_verrucosa_Haplotype_3b","22","Dec","Resp"
"8","POC-154",-0.365884462861332,"P_verrucosa_Haplotype_3b","25","Dec","Resp"
"9","POC-154",-0.477478614566484,"P_verrucosa_Haplotype_3b","28","Dec","Resp"
"10","POC-154",-0.565656583180836,"P_verrucosa_Haplotype_3b","30","Dec","Resp"
"11","POC-154",-0.675489507815815,"P_verrucosa_Haplotype_3b","32","Dec","Resp"
"12","POC-154",-0.372915214004001,"P_verrucosa_Haplotype_3b","36","Dec","Resp"
"13","POC-156",-0.316806330560271,"Haplotype_1a","22","Dec","Resp"
"14","POC-156",-0.081695215458862,"Haplotype_1a","25","Dec","Resp"
"15","POC-156",-0.564891550035104,"Haplotype_1a","28","Dec","Resp"
"16","POC-156",-0.412010228782566,"Haplotype_1a","30","Dec","Resp"
"17","POC-156",-0.571735324167891,"Haplotype_1a","32","Dec","Resp"
"18","POC-156",-0.480946277332861,"Haplotype_1a","36","Dec","Resp"
"19","POC-157",-0.303223036606376,"Haplotype_1a","22","Dec","Resp"
"20","POC-157",-0.362652909507565,"Haplotype_1a","25","Dec","Resp"
"21","POC-157",-0.586511068415551,"Haplotype_1a","28","Dec","Resp"
"22","POC-157",-0.662901740414237,"Haplotype_1a","30","Dec","Resp"
"23","POC-157",-0.568337147980741,"Haplotype_1a","32","Dec","Resp"
"24","POC-157",-0.720304705255394,"Haplotype_1a","36","Dec","Resp"
"25","POC-159",-0.244399847626697,"Haplotype_1a","22","Dec","Resp"
"26","POC-159",-0.340408532472259,"Haplotype_1a","25","Dec","Resp"
"27","POC-159",-0.238441307655722,"Haplotype_1a","28","Dec","Resp"
"28","POC-159",-0.365097625290908,"Haplotype_1a","30","Dec","Resp"
"29","POC-159",-0.437873806973919,"Haplotype_1a","32","Dec","Resp"
"30","POC-159",-0.429165548724474,"Haplotype_1a","36","Dec","Resp"
"31","POC-162",-0.271252350429854,"P_verrucosa_Haplotype_3b","22","Dec","Resp"
"32","POC-162",-0.320470871264611,"P_verrucosa_Haplotype_3b","25","Dec","Resp"
"33","POC-162",-0.37531208056537,"P_verrucosa_Haplotype_3b","28","Dec","Resp"
"34","POC-162",-0.508181864966839,"P_verrucosa_Haplotype_3b","30","Dec","Resp"
"35","POC-162",-0.409053239419884,"P_verrucosa_Haplotype_3b","32","Dec","Resp"
"36","POC-162",-0.341974451682357,"P_verrucosa_Haplotype_3b","36","Dec","Resp"
"37","POC-165",-0.392775403375663,"Haplotype_1a","22","Dec","Resp"
"38","POC-165",-0.355840722558907,"Haplotype_1a","25","Dec","Resp"
"39","POC-165",-0.59333323636369,"Haplotype_1a","28","Dec","Resp"
"40","POC-165",-0.458363814157214,"Haplotype_1a","30","Dec","Resp"
"41","POC-165",-0.696581366557692,"Haplotype_1a","32","Dec","Resp"
"42","POC-165",-0.385932619597439,"Haplotype_1a","36","Dec","Resp"
