fragment_ID
POC-149
POC-150
POC-151
POC-152
POC-154
POC-155
POC-156
POC-157
POC-159
POC-161
POC-162
POC-163
POC-164
POC-165
POC-166
POC-167
POC-168
POC-169
POC-170
POC-171
POC-172
POC-173
POC-174
POC-175
POC-177
POC-178
POC-179
POC-180
POC-181
POC-182
POC-183
POC-184
