type,tident,ident,Latitude,Longitude,y_proj,x_proj,comment,new_trk,new_seg,display,color,altitude,depth,temp,time,model,,,
TRACK,Current Track: 03 MAR 2020 10:17,T1,-17.0263817,-149.5629351,-17.0263817,-149.5629351,,FALSE,TRUE,,,14.28,,,2022/05/19 00:53:33+00,garmin GPSMAP 64 Software Version 660,,,
TRACK,Current Track: 03 MAR 2020 10:17,T1,-17.02637591,-149.5629286,-17.02637591,-149.5629286,,FALSE,FALSE,,,13.79,,,2022/05/19 00:54:04+00,garmin GPSMAP 64 Software Version 660,,,
TRACK,Current Track: 03 MAR 2020 10:17,T1,-17.02637642,-149.5629252,-17.02637642,-149.5629252,,FALSE,FALSE,,,13.25,,,2022/05/19 00:54:49+00,garmin GPSMAP 64 Software Version 660,,,
TRACK,Current Track: 03 MAR 2020 10:17,T1,-17.026376,-149.5629227,-17.026376,-149.5629227,,FALSE,FALSE,,,12.79,,,2022/05/19 00:55:31+00,garmin GPSMAP 64 Software Version 660,,,
TRACK,Current Track: 03 MAR 2020 10:17,T1,-17.0263858,-149.5629164,-17.0263858,-149.5629164,,FALSE,FALSE,,,12.85,,,2022/05/19 00:56:16+00,garmin GPSMAP 64 Software Version 660,,,
TRACK,Current Track: 03 MAR 2020 10:17,T1,-17.02638966,-149.5629185,-17.02638966,-149.5629185,,FALSE,FALSE,,,12.86,,,2022/05/19 00:56:47+00,garmin GPSMAP 64 Software Version 660,,,
TRACK,Current Track: 03 MAR 2020 10:17,T1,-17.02637809,-149.5629212,-17.02637809,-149.5629212,,FALSE,FALSE,,,12.99,,,2022/05/19 00:57:11+00,garmin GPSMAP 64 Software Version 660,,,
TRACK,Current Track: 03 MAR 2020 10:17,T1,-17.02637717,-149.5629278,-17.02637717,-149.5629278,,FALSE,FALSE,,,13.14,,,2022/05/19 00:57:29+00,garmin GPSMAP 64 Software Version 660,,,
TRACK,Current Track: 03 MAR 2020 10:17,T1,-17.02636695,-149.5629119,-17.02636695,-149.5629119,,FALSE,FALSE,,,13.35,,,2022/05/19 00:58:02+00,garmin GPSMAP 64 Software Version 660,,,
TRACK,Current Track: 03 MAR 2020 10:17,T1,-17.02638027,-149.5629191,-17.02638027,-149.5629191,,FALSE,FALSE,,,13.14,,,2022/05/19 00:58:33+00,garmin GPSMAP 64 Software Version 660,,,
TRACK,Current Track: 03 MAR 2020 10:17,T1,-17.02647784,-149.562864,-17.02647784,-149.562864,,FALSE,FALSE,,,13.55,,,2022/05/19 00:59:06+00,garmin GPSMAP 64 Software Version 660,,,
TRACK,Current Track: 03 MAR 2020 10:17,T1,-17.02657339,-149.5627848,-17.02657339,-149.5627848,,FALSE,FALSE,,,12.61,,,2022/05/19 00:59:40+00,garmin GPSMAP 64 Software Version 660,,,
TRACK,Current Track: 03 MAR 2020 10:17,T1,-17.02666752,-149.5626679,-17.02666752,-149.5626679,,FALSE,FALSE,,,12.54,,,2022/05/19 01:00:10+00,garmin GPSMAP 64 Software Version 660,,,
TRACK,Current Track: 03 MAR 2020 10:17,T1,-17.02671865,-149.5625624,-17.02671865,-149.5625624,,FALSE,FALSE,,,12.2,,,2022/05/19 01:00:35+00,garmin GPSMAP 64 Software Version 660,,,
TRACK,Current Track: 03 MAR 2020 10:17,T1,-17.0268546,-149.5624863,-17.0268546,-149.5624863,,FALSE,FALSE,,,11.88,,,2022/05/19 01:01:03+00,garmin GPSMAP 64 Software Version 660,,,
TRACK,Current Track: 03 MAR 2020 10:17,T1,-17.02688067,-149.5623671,-17.02688067,-149.5623671,,FALSE,FALSE,,,18.28,,,2022/05/19 01:01:31+00,garmin GPSMAP 64 Software Version 660,,,
TRACK,Current Track: 03 MAR 2020 10:17,T1,-17.02695904,-149.5624,-17.02695904,-149.5624,,FALSE,FALSE,,,10.87,,,2022/05/19 01:01:58+00,garmin GPSMAP 64 Software Version 660,,,
TRACK,Current Track: 03 MAR 2020 10:17,T1,-17.02697673,-149.5624012,-17.02697673,-149.5624012,,FALSE,FALSE,,,5.37,,,2022/05/19 01:02:31+00,garmin GPSMAP 64 Software Version 660,,,
TRACK,Current Track: 03 MAR 2020 10:17,T1,-17.02702995,-149.5622885,-17.02702995,-149.5622885,,FALSE,FALSE,,,2.45,,,2022/05/19 01:03:07+00,garmin GPSMAP 64 Software Version 660,,,
TRACK,Current Track: 03 MAR 2020 10:17,T1,-17.02717111,-149.562209,-17.02717111,-149.562209,,FALSE,FALSE,,,-0.05,,,2022/05/19 01:03:39+00,garmin GPSMAP 64 Software Version 660,,,
TRACK,Current Track: 03 MAR 2020 10:17,T1,-17.02724378,-149.5621849,-17.02724378,-149.5621849,,FALSE,FALSE,,,-1.84,,,2022/05/19 01:04:09+00,garmin GPSMAP 64 Software Version 660,,,
TRACK,Current Track: 03 MAR 2020 10:17,T1,-17.0272499,-149.5621025,-17.0272499,-149.5621025,,FALSE,FALSE,,,-2.94,,,2022/05/19 01:04:41+00,garmin GPSMAP 64 Software Version 660,,,
TRACK,Current Track: 03 MAR 2020 10:17,T1,-17.02731335,-149.5620345,-17.02731335,-149.5620345,,FALSE,FALSE,,,-3.54,,,2022/05/19 01:05:10+00,garmin GPSMAP 64 Software Version 660,,,
TRACK,Current Track: 03 MAR 2020 10:17,T1,-17.02746011,-149.561971,-17.02746011,-149.561971,,FALSE,FALSE,,,-3.31,,,2022/05/19 01:05:39+00,garmin GPSMAP 64 Software Version 660,,,
TRACK,Current Track: 03 MAR 2020 10:17,T1,-17.02758869,-149.5619109,-17.02758869,-149.5619109,,FALSE,FALSE,,,-4.13,,,2022/05/19 01:06:07+00,garmin GPSMAP 64 Software Version 660,,,
TRACK,Current Track: 03 MAR 2020 10:17,T1,-17.02767209,-149.5618165,-17.02767209,-149.5618165,,FALSE,FALSE,,,-4.45,,,2022/05/19 01:06:40+00,garmin GPSMAP 64 Software Version 660,,,
TRACK,Current Track: 03 MAR 2020 10:17,T1,-17.02776153,-149.5617184,-17.02776153,-149.5617184,,FALSE,FALSE,,,-5.04,,,2022/05/19 01:07:11+00,garmin GPSMAP 64 Software Version 660,,,
TRACK,Current Track: 03 MAR 2020 10:17,T1,-17.02780386,-149.5616471,-17.02780386,-149.5616471,,FALSE,FALSE,,,-5.41,,,2022/05/19 01:07:35+00,garmin GPSMAP 64 Software Version 660,,,
TRACK,Current Track: 03 MAR 2020 10:17,T1,-17.02775138,-149.5616018,-17.02775138,-149.5616018,,FALSE,FALSE,,,-4.83,,,2022/05/19 01:07:53+00,garmin GPSMAP 64 Software Version 660,,,
TRACK,Current Track: 03 MAR 2020 10:17,T1,-17.02774585,-149.5615761,-17.02774585,-149.5615761,,FALSE,FALSE,,,-4.67,,,2022/05/19 01:08:09+00,garmin GPSMAP 64 Software Version 660,,,
TRACK,Current Track: 03 MAR 2020 10:17,T1,-17.02775013,-149.5615775,-17.02775013,-149.5615775,,FALSE,FALSE,,,-4.69,,,2022/05/19 01:08:37+00,garmin GPSMAP 64 Software Version 660,,,
TRACK,Current Track: 03 MAR 2020 10:17,T1,-17.02776756,-149.561568,-17.02776756,-149.561568,,FALSE,FALSE,,,-4.87,,,2022/05/19 01:09:09+00,garmin GPSMAP 64 Software Version 660,,,
TRACK,Current Track: 03 MAR 2020 10:17,T1,-17.02777754,-149.5615838,-17.02777754,-149.5615838,,FALSE,FALSE,,,-4.73,,,2022/05/19 01:09:25+00,garmin GPSMAP 64 Software Version 660,,,
TRACK,Current Track: 03 MAR 2020 10:17,T1,-17.0277777,-149.5615834,-17.0277777,-149.5615834,,FALSE,FALSE,,,-5.37,,,2022/05/19 01:09:59+00,garmin GPSMAP 64 Software Version 660,,,
TRACK,Current Track: 03 MAR 2020 10:17,T1,-17.02779254,-149.5615955,-17.02779254,-149.5615955,,FALSE,FALSE,,,-6.4,,,2022/05/19 01:10:36+00,garmin GPSMAP 64 Software Version 660,,,
TRACK,Current Track: 03 MAR 2020 10:17,T1,-17.02778013,-149.5616034,-17.02778013,-149.5616034,,FALSE,FALSE,,,-7.21,,,2022/05/19 01:11:22+00,garmin GPSMAP 64 Software Version 660,,,
TRACK,Current Track: 03 MAR 2020 10:17,T1,-17.02781752,-149.5616325,-17.02781752,-149.5616325,,FALSE,FALSE,,,-8.17,,,2022/05/19 01:12:04+00,garmin GPSMAP 64 Software Version 660,,,
