well,fragment_ID
A1,StandardA
A2,StandardA
A3,StandardB
A4,StandardB
A5,StandardC
A6,StandardC
A7,StandardD
A8,StandardD
A9,StandardE
A10,StandardE
A11,StandardF
A12,StandardF
B1,StandardG
B2,StandardG
B3,StandardH
B4,StandardH
B5,StandardI
B6,StandardI
B7,POC-149
B8,POC-149
B9,POC-150
B10,POC-150
B11,POC-151
B12,POC-151
C1,POC-152
C2,POC-152
C3,POC-154
C4,POC-154
C5,POC-155
C6,POC-155
C7,POC-156
C8,POC-156
C9,POC-157
C10,POC-157
C11,POC-159
C12,POC-159
D1,POC-163
D2,POC-163
D3,POC-161
D4,POC-161
D5,POC-162
D6,POC-162
D7,POC-164
D8,POC-164
D9,POC-165
D10,POC-165
D11,POC-166
D12,POC-166
E1,POC-167
E2,POC-167
E3,POC-168
E4,POC-168
E5,POC-169
E6,POC-169
E7,POC-170
E8,POC-170
E9,POC-171
E10,POC-171
E11,POC-172
E12,POC-172
F1,POC-173
F2,POC-173
F3,POC-174
F4,POC-174
F5,POC-175
F6,POC-175
F7,POC-177
F8,POC-177
F9,POC-178
F10,POC-178
F11,POC-179
F12,POC-179
G1,POC-180
G2,POC-180
G3,POC-181
G4,POC-181
G5,POC-182
G6,POC-182
G7,POC-183
G8,POC-183
G9,POC-184
G10,POC-184
G11,NA
G12,NA
H1,NA
H2,NA
H3,NA
H4,NA
H5,NA
H6,NA
H7,NA
H8,NA
H9,NA
H10,NA
H11,NA
H12,NA
