,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.924,1.557,1.046,0.799,0.623,0.37,0.226,0.104,0.082,1.364,0.665,0.69,562:562
B,1.807,1.507,0.931,0.814,0.636,0.356,0.235,0.103,0.084,1.533,0.774,0.759,562:562
C,1.37,1.128,1.298,0.595,1.179,1.1,1.336,1.081,0.991,2.036,1.179,1.181,562:562
D,1.4,1.332,1.402,0.578,1.122,1.388,1.41,1.036,1.077,1.339,1.252,1.072,562:562
E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
