fragment_ID,Sample,Diameter,weight1.g,weight2.g,Notes
POC-149-32,Coral,NA,9.006,9.917,
POC-149-36,Coral,NA,14.087,15.447,
POC-150-22,Coral,NA,41.03,44.042,
POC-150-25,Coral,NA,39.765,42.376,
POC-150-28,Coral,NA,27.911,29.907,
POC-150-30,Coral,NA,54.231,57.805,
POC-150-32,Coral,NA,20.195,21.725,
POC-150-36,Coral,NA,50.017,52.25,
POC-151-22,Coral,NA,90.855,95.143,
POC-151-25,Coral,NA,69.973,73.216,
POC-151-28,Coral,NA,70.901,74.103,
POC-151-30,Coral,NA,88.064,92.283,
POC-151-32,Coral,NA,20.865,21.99,
POC-151-36,Coral,NA,77.228,80.451,
POC-152-22,Coral,NA,13.526,14.42,
POC-152-25,Coral,NA,31.948,33.842,
POC-152-28,Coral,NA,21.826,23.388,
POC-152-30,Coral,NA,14.281,15.256,
POC-152-32,Coral,NA,24.375,26.01,
POC-152-36,Coral,NA,14.55,15.617,
POC-154-22,Coral,NA,16.077,17.416,
POC-154-25,Coral,NA,28.634,30.65,
POC-154-28,Coral,NA,13.471,14.487,
POC-154-30,Coral,NA,7.273,7.854,
POC-154-32,Coral,NA,9.869,10.589,
POC-154-36,Coral,NA,41.912,45.446,
POC-155-22,Coral,NA,17.346,18.709,
POC-155-25,Coral,NA,13.278,14.317,
POC-155-28,Coral,NA,9.495,10.219,
POC-155-30,Coral,NA,11.073,11.989,
POC-155-32,Coral,NA,44.206,47.551,
POC-155-36,Coral,NA,20.439,21.952,
POC-156-22,Coral,NA,28.699,30.904,
POC-156-25,Coral,NA,21.055,22.568,
POC-156-28,Coral,NA,23.934,25.735,
POC-156-30,Coral,NA,54.045,58.157,
POC-156-32,Coral,NA,41.34,44.505,
POC-156-36,Coral,NA,10.425,11.089,
POC-157-22,Coral,NA,25.658,27.459,
POC-157-25,Coral,NA,28.585,30.757,
POC-157-28,Coral,NA,22.387,24.098,
POC-157-30,Coral,NA,18.073,19.366,
POC-157-32,Coral,NA,28.571,30.284,
POC-157-36,Coral,NA,28.208,30.566,
POC-159-22,Coral,NA,65.031,68.738,
POC-159-25,Coral,NA,28.177,29.82,
POC-159-28,Coral,NA,32.953,34.803,
POC-159-30,Coral,NA,25.779,27.263,
POC-159-32,Coral,NA,46.806,49.825,
POC-159-36,Coral,NA,36.937,39.165,
POC-161-22,Coral,NA,37.563,40.59,
POC-161-25,Coral,NA,27.006,29.2,
POC-161-28,Coral,NA,19.685,21.37,
POC-161-30,Coral,NA,29.126,31.271,
POC-161-32,Coral,NA,13.142,14.162,
POC-161-36,Coral,NA,6.27,6.727,
POC-162-22,Coral,NA,33.137,35.618,
POC-162-25,Coral,NA,24.569,26.292,
POC-162-28,Coral,NA,24.833,26.418,
POC-162-30,Coral,NA,23.721,25.374,
POC-162-32,Coral,NA,34.466,37.119,
POC-162-36,Coral,NA,22.548,23.625,
POC-163-22,Coral,NA,38.066,40.352,
POC-163-25,Coral,NA,42.301,45.027,
POC-163-28,Coral,NA,45.759,48.31,
POC-163-30,Coral,NA,24.87,26.23,
POC-163-32,Coral,NA,72.509,76.59,
POC-163-36,Coral,NA,61.109,64.295,
POC-164-25,Coral,NA,15.644,16.867,
POC-164-28,Coral,NA,25.194,27.26,
POC-164-30,Coral,NA,33.026,35.701,
POC-164-22,Coral,NA,18.286,19.988,"both say 32, need to check notebook, changed this one to 22 for test"
POC-164-32,Coral,NA,18.119,19.569,"both say 32, need to check notebook, kept this one 32 for test"
POC-164-36,Coral,NA,14.16,15.382,
POC-165-22,Coral,NA,28.111,29.836,
POC-165-25,Coral,NA,32.218,34.171,
POC-165-28,Coral,NA,70.942,74.983,
POC-165-30,Coral,NA,54.512,57.882,
POC-165-32,Coral,NA,58.044,61.631,
POC-165-36,Coral,NA,64.037,67.963,
POC-166-22,Coral,NA,22.686,24.481,
POC-166-25,Coral,NA,24.85,26.891,
POC-166-28,Coral,NA,30.144,32.653,
POC-166-30,Coral,NA,14.299,15.63,
POC-166-32,Coral,NA,45.236,48.893,
POC-166-36,Coral,NA,52.813,56.53,
POC-167-22,Coral,NA,32.272,34.036,
POC-167-25,Coral,NA,34.871,36.951,
POC-167-28,Coral,NA,56.58,59.947,
POC-167-30,Coral,NA,51.434,54.639,
POC-167-32,Coral,NA,16.416,17.416,
POC-167-36,Coral,NA,74.025,78.287,
POC-168-22,Coral,NA,24.301,25.664,
POC-168-25,Coral,NA,29.383,30.949,
POC-168-28,Coral,NA,18.797,19.716,
POC-168-30,Coral,NA,35.411,37.898,
POC-168-32,Coral,NA,38.671,40.979,
POC-168-36,Coral,NA,52.042,56.026,
POC-169-22,Coral,NA,28.762,30.82,
POC-169-25,Coral,NA,30.728,32.406,
POC-169-28,Coral,NA,22.192,23.744,
POC-169-30,Coral,NA,47.087,49.543,
POC-169-32,Coral,NA,75.866,81.39,
POC-169-36,Coral,NA,58.273,61.831,
POC-170-22,Coral,NA,14.909,15.769,
POC-170-25,Coral,NA,49.889,52.949,
POC-170-28,Coral,NA,27.724,29.521,
POC-170-30,Coral,NA,16.958,18.017,
POC-170-32,Coral,NA,9.349,9.92,
POC-170-36,Coral,NA,22.937,24.469,
POC-171-22,Coral,NA,27.498,29.223,
POC-171-25,Coral,NA,28.346,30.276,
POC-171-28,Coral,NA,24.65,26.114,
POC-171-30,Coral,NA,36.375,38.706,
POC-171-32,Coral,NA,46.526,49.062,
POC-171-36,Coral,NA,27.046,29.117,
POC-172-22,Coral,NA,31.247,33.298,
POC-172-25,Coral,NA,58.457,62.173,
POC-172-28,Coral,NA,50.776,53.674,
POC-172-30,Coral,NA,90.029,95.347,
POC-172-32,Coral,NA,16.61,17.718,
POC-172-36,Coral,NA,16.541,17.577,
POC-173-22,Coral,NA,27.695,30.089,
POC-173-25,Coral,NA,40.166,43.585,
POC-173-28,Coral,NA,28.415,30.688,
POC-173-36,Coral,NA,69.109,75.711,
POC-173-30,Coral,NA,32.971,35.664,
POC-173-32,Coral,NA,41.018,44.17,
POC-174-22,Coral,NA,34.367,36.428,
POC-174-25,Coral,NA,50.759,53.978,
POC-174-28,Coral,NA,22.791,24.196,
POC-174-30,Coral,NA,66.046,69.827,
POC-174-32,Coral,NA,64.482,67.81,
POC-174-36,Coral,NA,37.067,38.815,
POC-175-22,Coral,NA,20.112,21.774,
POC-175-25,Coral,NA,27.689,29.88,
POC-175-28,Coral,NA,17.271,18.946,
POC-175-30,Coral,NA,22.165,24.006,
POC-175-32,Coral,NA,52.144,56.459,
POC-175-36,Coral,NA,44.576,47.45,
POC-177-22,Coral,NA,11.303,12.23,
POC-177-25,Coral,NA,13.03,13.952,
POC-177-28,Coral,NA,9.501,10.255,
POC-177-30,Coral,NA,19.139,20.609,
POC-177-32,Coral,NA,38.267,40.93,
POC-177-36,Coral,NA,22.164,23.737,
POC-178-22,Coral,NA,27.422,29.275,
POC-178-25,Coral,NA,20.77,22.193,
POC-178-28,Coral,NA,17.85,19.383,
POC-178-30,Coral,NA,46.392,49.137,
POC-178-32,Coral,NA,58.177,61.755,
POC-178-36,Coral,NA,70.036,74.592,
POC-179-22,Coral,NA,18.769,20.195,
POC-179-25,Coral,NA,52.874,56.227,
POC-179-28,Coral,NA,59.009,63.414,
POC-179-30,Coral,NA,23.454,25.352,
POC-179-32,Coral,NA,34.488,36.808,
POC-179-36,Coral,NA,25.607,27.54,
POC-180-22,Coral,NA,16.248,18.144,
POC-180-25,Coral,NA,29.527,32.813,
POC-180-28,Coral,NA,17.229,19.123,
POC-180-30,Coral,NA,7.222,8.059,
POC-180-32,Coral,NA,22.836,25.624,
POC-180-36,Coral,NA,15.127,16.708,
POC-181-22,Coral,NA,45.188,47.451,
POC-181-25,Coral,NA,34.725,37.561,
POC-181-28,Coral,NA,18.552,19.953,
POC-181-30,Coral,NA,39.316,42.458,
POC-181-32,Coral,NA,46.825,50.216,
POC-181-36,Coral,NA,26.808,28.389,
POC-182-22,Coral,NA,71.974,76.91,
POC-182-25,Coral,NA,28.918,30.83,
POC-182-28,Coral,NA,35.485,38.497,
POC-182-30,Coral,NA,20.883,22.548,
POC-182-32,Coral,NA,16.812,18.062,
POC-182-36,Coral,NA,20.497,21.954,
POC-183-22,Coral,NA,22.297,24.22,
POC-183-25,Coral,NA,18.092,19.556,
POC-183-28,Coral,NA,23.266,25.418,
POC-183-30,Coral,NA,32.359,35.339,
POC-183-32,Coral,NA,24.245,26.271,
POC-183-36,Coral,NA,29.696,32.201,
POC-184-22,Coral,NA,17.986,19.496,
POC-184-25,Coral,NA,22.156,24.091,
POC-184-28,Coral,NA,11.004,12.965,
POC-184-30,Coral,NA,23.201,24.87,
POC-184-32,Coral,NA,44.624,46.985,
POC-184-36,Coral,NA,32.66,34.589,
