fragment_ID,surface.area.cm2
POC-149,24.522395449566524
POC-150,37.60125363576974
POC-151,13.710130953712337
POC-152,28.35110100758851
POC-154,10.248981129260441
POC-155,19.192837312799867
POC-156,44.79922008485105
POC-157,24.18546936046058
POC-159,47.77029559787617
POC-163,31.291546876149418
POC-161,27.922285985090035
POC-162,45.809998352168954
POC-164,33.65002949989098
POC-165,38.70392083648006
POC-166,38.581402258623314
POC-167,27.30969309580655
POC-168,36.49858643505941
POC-169,36.65173465738026
POC-170,31.199657942756886
POC-171,37.38684612452046
POC-172,38.82643941433681
POC-173,64.21841467513882
POC-174,36.896771813093636
POC-175,33.46625163310591
POC-177,22.715246426180126
POC-178,35.82473425684753
POC-179,31.750991543112022
POC-180,28.902434607943697
POC-181,29.51502749722721
POC-182,45.31992404074214
POC-183,33.95632594453273
POC-184,30.096990742046557
