type,tident,ident,Latitude,Longitude,y_proj,x_proj,comment,new_trk,new_seg,display,color,altitude,depth,temp,time,model,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.48022043,-149.8066801,-17.48022043,-149.8066801,,FALSE,TRUE,,,25.34,,,2022/05/02 18:42:00+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.48014617,-149.8066531,-17.48014617,-149.8066531,,FALSE,FALSE,,,25.28,,,2022/05/02 18:42:09+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47986881,-149.8066597,-17.47986881,-149.8066597,,FALSE,FALSE,,,28.02,,,2022/05/02 18:42:27+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47939439,-149.8068283,-17.47939439,-149.8068283,,FALSE,FALSE,,,28.47,,,2022/05/02 18:42:56+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47908007,-149.8068593,-17.47908007,-149.8068593,,FALSE,FALSE,,,28.26,,,2022/05/02 18:43:14+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47862175,-149.8070034,-17.47862175,-149.8070034,,FALSE,FALSE,,,26.8,,,2022/05/02 18:43:39+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47819419,-149.8070611,-17.47819419,-149.8070611,,FALSE,FALSE,,,25.98,,,2022/05/02 18:44:00+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47786134,-149.8069698,-17.47786134,-149.8069698,,FALSE,FALSE,,,25.28,,,2022/05/02 18:44:17+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47750637,-149.8068966,-17.47750637,-149.8068966,,FALSE,FALSE,,,24.97,,,2022/05/02 18:44:38+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47721527,-149.8070535,-17.47721527,-149.8070535,,FALSE,FALSE,,,25.94,,,2022/05/02 18:44:57+00,garmin GPSMAP 64 Software Version 470,,,
