fragment_ID,Timepoint,Squares.Counted,Count1,Count2,Count3,Count4,Count5,Count6,Count7,Count8,Dilution,Counter,Date.Counted
POC-178,Dec,5,205,173,238,210,194,NA,NA,NA,NA,Putnam,20230702
POC-178.2,Dec,2,143,155,129,124,116,NA,NA,NA,NA,Putnam,20230702
POC-175,Dec,5,142,148,160,110,131,NA,NA,NA,NA,Putnam,20230702
POC-162,Dec,5,191,179,229,198,197,NA,NA,NA,NA,Putnam,20230702
POC-157,Dec,2,197,158,166,184,168,NA,NA,NA,NA,Putnam,20230702
POC-169,Dec,5,150,144,108,110,136,NA,NA,NA,NA,Putnam,20230702
POC-150,Dec,5,100,100,100,100,100,NA,NA,NA,NA,x,x
POC-154,Dec,5,100,100,100,100,100,NA,NA,NA,NA,x,x
POC-156,Dec,5,100,100,100,100,100,NA,NA,NA,NA,x,x
POC-159,Dec,5,100,100,100,100,100,NA,NA,NA,NA,x,x
POC-165,Dec,5,100,100,100,100,100,NA,NA,NA,NA,x,x
POC-167,Dec,5,100,100,100,100,100,NA,NA,NA,NA,x,x
POC-168,Dec,5,100,100,100,100,100,NA,NA,NA,NA,x,x
POC-174,Dec,5,100,100,100,100,100,NA,NA,NA,NA,x,x
POC-179,Dec,5,100,100,100,100,100,NA,NA,NA,NA,x,x
POC-181,Dec,5,100,100,100,100,100,NA,NA,NA,NA,x,x
