"","fragment_ID","micromol.cm2.h","mtORF","Temp.Cat","Timepoint","measure"
"1","POC-150",-0.803759275463964,"Haplotype_1a","22","May","Resp"
"2","POC-150",-0.379306622603985,"Haplotype_1a","25","May","Resp"
"3","POC-150",-0.443085549073523,"Haplotype_1a","28","May","Resp"
"4","POC-150",-1.17415330085879,"Haplotype_1a","30","May","Resp"
"5","POC-150",-0.185678264176005,"Haplotype_1a","32","May","Resp"
"6","POC-150",-1.34941951099112,"Haplotype_1a","36","May","Resp"
"7","POC-154",-0.186045373125593,"P_verrucosa_Haplotype_3b","22","May","Resp"
"8","POC-154",-0.400841231707323,"P_verrucosa_Haplotype_3b","25","May","Resp"
"9","POC-154",-0.230703225785275,"P_verrucosa_Haplotype_3b","28","May","Resp"
"10","POC-154",-0.29406532653881,"P_verrucosa_Haplotype_3b","30","May","Resp"
"11","POC-154",-0.395105721853556,"P_verrucosa_Haplotype_3b","32","May","Resp"
"12","POC-154",-0.587633045302229,"P_verrucosa_Haplotype_3b","36","May","Resp"
"13","POC-156",-0.278744288861462,"Haplotype_1a","22","May","Resp"
"14","POC-156",-0.168499136728468,"Haplotype_1a","25","May","Resp"
"15","POC-156",-0.536820403735562,"Haplotype_1a","28","May","Resp"
"16","POC-156",-0.803766127219681,"Haplotype_1a","30","May","Resp"
"17","POC-156",-0.582958528353903,"Haplotype_1a","32","May","Resp"
"18","POC-156",-0.300799414278705,"Haplotype_1a","36","May","Resp"
"19","POC-157",-0.444709578987018,"Haplotype_1a","22","May","Resp"
"20","POC-157",-0.300324538040457,"Haplotype_1a","25","May","Resp"
"21","POC-157",-0.576914986807002,"Haplotype_1a","28","May","Resp"
"22","POC-157",-0.602670234293061,"Haplotype_1a","30","May","Resp"
"23","POC-157",-0.4359306281812,"Haplotype_1a","32","May","Resp"
"24","POC-157",-0.986851672519631,"Haplotype_1a","36","May","Resp"
"25","POC-159",-0.686786047175786,"Haplotype_1a","22","May","Resp"
"26","POC-159",-0.54217838455578,"Haplotype_1a","25","May","Resp"
"27","POC-159",-0.387681478823183,"Haplotype_1a","28","May","Resp"
"28","POC-159",-1.52090423668788,"Haplotype_1a","30","May","Resp"
"29","POC-159",-0.644722529976436,"Haplotype_1a","32","May","Resp"
"30","POC-159",-0.285973422332906,"Haplotype_1a","36","May","Resp"
"31","POC-162",-0.459034676734485,"P_verrucosa_Haplotype_3b","22","May","Resp"
"32","POC-162",-0.157554256771712,"P_verrucosa_Haplotype_3b","25","May","Resp"
"33","POC-162",-0.355188810357996,"P_verrucosa_Haplotype_3b","28","May","Resp"
"34","POC-162",-0.466225083897767,"P_verrucosa_Haplotype_3b","30","May","Resp"
"35","POC-162",-0.365025707945051,"P_verrucosa_Haplotype_3b","32","May","Resp"
"36","POC-162",-0.386041395978222,"P_verrucosa_Haplotype_3b","36","May","Resp"
"37","POC-165",-0.348055265256282,"Haplotype_1a","22","May","Resp"
"38","POC-165",-0.420297087676596,"Haplotype_1a","25","May","Resp"
"39","POC-165",-1.29011743458999,"Haplotype_1a","28","May","Resp"
"40","POC-165",-0.300235328693723,"Haplotype_1a","30","May","Resp"
"41","POC-165",-0.557907760113437,"Haplotype_1a","32","May","Resp"
"42","POC-165",-0.868410672290177,"Haplotype_1a","36","May","Resp"
"43","POC-167",-0.516226595637995,"Haplotype_1a","22","May","Resp"
"44","POC-167",-0.550520446964929,"Haplotype_1a","25","May","Resp"
"45","POC-167",-1.86582949585152,"Haplotype_1a","28","May","Resp"
"46","POC-167",-1.3992212742119,"Haplotype_1a","30","May","Resp"
"47","POC-167",-0.580616307148626,"Haplotype_1a","32","May","Resp"
"48","POC-167",-1.12894892794766,"Haplotype_1a","36","May","Resp"
"49","POC-168",-0.307841259102384,"Haplotype_1a","22","May","Resp"
"50","POC-168",-0.473335900883027,"Haplotype_1a","25","May","Resp"
"51","POC-168",-0.268742824067021,"Haplotype_1a","28","May","Resp"
"52","POC-168",-0.312900418010396,"Haplotype_1a","30","May","Resp"
"53","POC-168",-0.642800250283767,"Haplotype_1a","32","May","Resp"
"54","POC-168",-0.874245878911739,"Haplotype_1a","36","May","Resp"
"55","POC-169",-0.21629472955411,"P_verrucosa_Haplotype_3b","22","May","Resp"
"56","POC-169",-0.939801457085131,"P_verrucosa_Haplotype_3b","25","May","Resp"
"57","POC-169",-0.380348027126988,"P_verrucosa_Haplotype_3b","28","May","Resp"
"58","POC-169",-0.811159163092848,"P_verrucosa_Haplotype_3b","30","May","Resp"
"59","POC-169",-1.46486138975127,"P_verrucosa_Haplotype_3b","32","May","Resp"
"60","POC-169",-1.36026855400621,"P_verrucosa_Haplotype_3b","36","May","Resp"
"61","POC-174",-0.273538991747988,"Haplotype_1a","22","May","Resp"
"62","POC-174",-0.313027505552503,"Haplotype_1a","28","May","Resp"
"63","POC-174",-0.87538267442133,"Haplotype_1a","32","May","Resp"
"64","POC-174",-0.281281302607491,"Haplotype_1a","36","May","Resp"
"65","POC-175",-1.0272693888087,"P_verrucosa_Haplotype_3b","22","May","Resp"
"66","POC-175",-0.612330274788071,"P_verrucosa_Haplotype_3b","28","May","Resp"
"67","POC-175",-1.00797035904523,"P_verrucosa_Haplotype_3b","32","May","Resp"
"68","POC-175",-0.675463824873953,"P_verrucosa_Haplotype_3b","36","May","Resp"
"69","POC-178",-0.20875259070536,"Haplotype_1a","22","May","Resp"
"70","POC-178",-0.175076499782596,"Haplotype_1a","25","May","Resp"
"71","POC-178",-0.439786612535242,"Haplotype_1a","28","May","Resp"
"72","POC-178",-0.811303762967894,"Haplotype_1a","30","May","Resp"
"73","POC-178",-0.83753053754895,"Haplotype_1a","32","May","Resp"
"74","POC-178",-0.382616738339503,"Haplotype_1a","36","May","Resp"
"75","POC-179",-0.31330886789466,"P_verrucosa_Haplotype_3b","22","May","Resp"
"76","POC-179",-0.365269687385448,"P_verrucosa_Haplotype_3b","25","May","Resp"
"77","POC-179",-1.34235694850633,"P_verrucosa_Haplotype_3b","28","May","Resp"
"78","POC-179",-1.01544395410568,"P_verrucosa_Haplotype_3b","30","May","Resp"
"79","POC-179",-0.38634527955969,"P_verrucosa_Haplotype_3b","32","May","Resp"
"80","POC-179",-1.11420244614099,"P_verrucosa_Haplotype_3b","36","May","Resp"
"81","POC-181",-0.249225089823324,"P_verrucosa_Haplotype_3b","22","May","Resp"
"82","POC-181",-0.342176354356641,"P_verrucosa_Haplotype_3b","25","May","Resp"
"83","POC-181",-0.511558613110173,"P_verrucosa_Haplotype_3b","28","May","Resp"
"84","POC-181",-0.835655676768007,"P_verrucosa_Haplotype_3b","30","May","Resp"
"85","POC-181",-0.697709925888057,"P_verrucosa_Haplotype_3b","32","May","Resp"
"86","POC-181",-1.01512692428799,"P_verrucosa_Haplotype_3b","36","May","Resp"
"87","POC-183",-0.5957192433748,"P_verrucosa_Haplotype_3b","22","May","Resp"
"88","POC-183",-0.551299388250775,"P_verrucosa_Haplotype_3b","25","May","Resp"
"89","POC-183",-0.874551247788485,"P_verrucosa_Haplotype_3b","28","May","Resp"
"90","POC-183",-1.64197742084267,"P_verrucosa_Haplotype_3b","30","May","Resp"
"91","POC-183",-0.92090164592741,"P_verrucosa_Haplotype_3b","32","May","Resp"
"92","POC-183",-2.8338842104134,"P_verrucosa_Haplotype_3b","36","May","Resp"
