Well,562:562
A1,2.521
B1,0.276
C1,0.98
D1,1.25
E1,1.126
F1,1.95
G1,1.218
H1,1.856
A2,2.601
B2,0.267
C2,0.961
D2,1.202
E2,1.103
F2,1.98
G2,1.15
H2,1.858
A3,1.98
B3,0.109
C3,0.63
D3,0.994
E3,1.104
F3,0.801
G3,0.844
H3,1.147
A4,1.901
B4,0.111
C4,0.616
D4,0.984
E4,1.154
F4,0.87
G4,0.85
H4,1.156
A5,1.345
B5,0.084
C5,0.64
D5,1.244
E5,1.076
F5,1.135
G5,1.155
H5,0.046
A6,1.452
B6,0.084
C6,0.663
D6,1.244
E6,1.11
F6,1.129
G6,1.13
H6,0.044
A7,1.11
B7,0.089
C7,0.902
D7,1.097
E7,1.5
F7,1.122
G7,1.109
H7,0.045
A8,1.109
B8,0.783
C8,0.826
D8,1.136
E8,1.465
F8,1.073
G8,1.036
H8,0.048
A9,0.806
B9,0.823
C9,0.938
D9,1.155
E9,0.981
F9,1.209
G9,1.248
H9,0.049
A10,0.832
B10,1.328
C10,0.962
D10,1.21
E10,1.001
F10,1.154
G10,1.296
H10,0.046
A11,0.408
B11,0.553
C11,1.62
D11,1.37
E11,1.127
F11,1.103
G11,1.353
H11,0.049
A12,0.418
B12,0.546
C12,1.643
D12,1.494
E12,1.246
F12,1.157
G12,1.372
H12,0.048
