fragment_ID,site,species,date.TPC
POC-149,Manava,Pocillopora,
POC-150,Manava,Pocillopora,
POC-151,Manava,Pocillopora,
POC-152,Manava,Pocillopora,
POC-154,Manava,Pocillopora,
POC-155,Manava,Pocillopora,
POC-156,Manava,Pocillopora,
POC-157,Manava,Pocillopora,
POC-159,Manava,Pocillopora,
POC-160,Manava,Pocillopora,
POC-161,Manava,Pocillopora,
POC-162,Manava,Pocillopora,
POC-164,Manava,Pocillopora,
POC-165,Manava,Pocillopora,
POC-166,Manava,Pocillopora,
POC-167,Manava,Pocillopora,
POC-168,Manava,Pocillopora,
POC-169,Manava,Pocillopora,
POC-170,Manava,Pocillopora,
POC-171,Manava,Pocillopora,
POC-172,Manava,Pocillopora,
POC-173,Manava,Pocillopora,
POC-174,Manava,Pocillopora,
POC-175,Manava,Pocillopora,
POC-177,Manava,Pocillopora,
POC-178,Manava,Pocillopora,
POC-179,Manava,Pocillopora,
POC-180,Manava,Pocillopora,
POC-181,Manava,Pocillopora,
POC-182,Manava,Pocillopora,
POC-183,Manava,Pocillopora,
POC-184,Manava,Pocillopora,
