Run,Light_Level,Light_Value,Date,Start.time,Stop.time
TPCBASS_Run6,1,620,20221208,11:53,12:14
TPCBASS_Run6,0,0,20221208,12:16,12:43
TPCBASS_Run7,1,620,20221208,14:22,14:42
TPCBASS_Run7,0,0,20221208,14:43,15:04
TPCBASS_Run8,1,620,20221208,16:48,17:10
TPCBASS_Run8,0,0,20221208,17:11,17:32
TPCBASS_Run9,1,620,20221209,14:07,14:28
TPCBASS_Run9,0,0,20221209,14:30,14:50
TPCBASS_Run10,1,620,20221209,16:20,16:41
TPCBASS_Run10,0,0,20221209,16:42,17:04
TPCBASS_Run11,1,620,20221209,19:58,20:18
TPCBASS_Run11,0,0,20221209,20:19,20:40
TPCBASS_Run12,1,620,20221210,15:06,15:28
TPCBASS_Run12,0,0,20221210,15:29,15:52
TPCBASS_Run13,1,620,20221210,17:27,17:48
TPCBASS_Run13,0,0,20221210,17:49,18:10
TPCBASS_Run14,1,620,20221210,19:00,19:21
TPCBASS_Run14,0,0,20221210,19:21,19:42
TPCBASS_Run15,1,620,20221211,14:29,14:51
TPCBASS_Run15,0,0,20221211,14:52,15:13
TPCBASS_Run16,1,620,20221211,16:02,16:24
TPCBASS_Run16,0,0,20221211,16:24,16:45
TPCBASS_Run17,1,620,20221211,17:59,18:20
TPCBASS_Run17,0,0,20221211,18:25,18:46
TPCBASS_Run18,1,620,20221211,19:58,20:24
TPCBASS_Run18,0,0,20221211,20:22,20:43
TPCBASS_Run19,1,620,20221211,21:46,22:06
TPCBASS_Run19,0,0,20221211,22:07,22:29
TPCBASS_Run20,1,620,20221211,23:12,23:34
TPCBASS_Run20,0,0,20221211,23:35,23:56
