,type,ident,Latitude,Longitude,y_proj,x_proj,comment,display,symbol,dist,proximity,color,altitude,depth,temp,time,wpt_class,sub_class,attrib,link,state,country,city,address,zip,facility,crossroad,ete,dtype,model,filename,ltime,magvar,geoidheight,desc,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,dir
,WAYPOINT,48,-17.476635,-149.80647,-17.476635,-149.80647,,,"Flag, Blue",,,,-1.081228,,,2022/05/14 01:35:57+00,,,,,,,,,,,,,,garmin GPSMAP 64 Software Version 470,,5/13/22 15:35,,,,,,,,,,,
,WAYPOINT,149,-17.476755,-149.806502,-17.476755,-149.806502,,,"Flag, Blue",,,,8.648374,,,2022/05/12 21:40:36+00,,,,,,,,,,,,,,garmin GPSMAP 64 Software Version 470,,5/12/22 11:40,,,,,,,,,,,
,WAYPOINT,149,-17.476639,-149.806469,-17.476639,-149.806469,,,"Flag, Blue",,,,-0.768106,,,2022/05/14 01:36:02+00,,,,,,,,,,,,,,garmin GPSMAP 64 Software Version 470,,5/13/22 15:36,,,,,,,,,,,
,WAYPOINT,151,-17.476766,-149.806288,-17.476766,-149.806288,,,"Flag, Blue",,,,5.842336,,,2022/05/12 21:47:55+00,,,,,,,,,,,,,,garmin GPSMAP 64 Software Version 470,,5/12/22 11:47,,,,,,,,,,,
,WAYPOINT,152,-17.476801,-149.806483,-17.476801,-149.806483,,,"Flag, Blue",,,,8.257504,,,2022/05/12 21:33:25+00,,,,,,,,,,,,,,garmin GPSMAP 64 Software Version 470,,5/12/22 11:33,,,,,,,,,,,
,WAYPOINT,154,-17.476677,-149.806429,-17.476677,-149.806429,,,"Flag, Blue",,,,2.329355,,,2022/05/14 01:26:15+00,,,,,,,,,,,,,,garmin GPSMAP 64 Software Version 470,,5/13/22 15:26,,,,,,,,,,,
,WAYPOINT,155,-17.476639,-149.806474,-17.476639,-149.806474,,,"Flag, Blue",,,,-2.270713,,,2022/05/14 01:37:13+00,,,,,,,,,,,,,,garmin GPSMAP 64 Software Version 470,,5/13/22 15:37,,,,,,,,,,,
,WAYPOINT,156,-17.476522,-149.806462,-17.476522,-149.806462,,,"Flag, Blue",,,,2.335572,,,2022/05/14 01:41:21+00,,,,,,,,,,,,,,garmin GPSMAP 64 Software Version 470,,5/13/22 15:41,,,,,,,,,,,
,WAYPOINT,157,-17.476501,-149.806382,-17.476501,-149.806382,,,"Flag, Blue",,,,0.583938,,,2022/05/14 01:44:52+00,,,,,,,,,,,,,,garmin GPSMAP 64 Software Version 470,,5/13/22 15:44,,,,,,,,,,,
,WAYPOINT,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WAYPOINT,161,-17.476972,-149.806056,,,,,"Flag, Blue",,,,,,,2022/05/23 12:30:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WAYPOINT,162,-17.477083,-149.805972,,,,,"Flag, Blue",,,,,,,2022/05/23 12:30:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WAYPOINT,163,-17.476778,-149.806111,,,,,"Flag, Blue",,,,,,,2022/05/23 12:30:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WAYPOINT,164,-17.476816,-149.805986,-17.476816,-149.805986,,,"Flag, Blue",,,,-0.228834,,,2022/05/23 02:49:39+00,,,,,,,,,,,,,,garmin GPSMAP 64 Software Version 660,,5/22/22 16:49,,,,,,,,,,,
,WAYPOINT,165,-17.476814,-149.805994,-17.476814,-149.805994,,,"Flag, Blue",,,,-0.920611,,,2022/05/23 02:46:01+00,,,,,,,,,,,,,,garmin GPSMAP 64 Software Version 660,,5/22/22 16:46,,,,,,,,,,,
,WAYPOINT,166,-17.476946,-149.805928,-17.476946,-149.805928,,,"Flag, Blue",,,,0.455592,,,2022/05/23 02:42:35+00,,,,,,,,,,,,,,garmin GPSMAP 64 Software Version 660,,5/22/22 16:42,,,,,,,,,,,
,WAYPOINT,167,-17.476926,-149.80602,-17.476926,-149.80602,,,"Flag, Blue",,,,1.294385,,,2022/05/23 02:41:18+00,,,,,,,,,,,,,,garmin GPSMAP 64 Software Version 660,,5/22/22 16:41,,,,,,,,,,,
,WAYPOINT,168,-17.476839,-149.806273,-17.476839,-149.806273,,,"Flag, Blue",,,,10.006561,,,2022/05/24 02:31:06+00,,,,,,,,,,,,,,garmin GPSMAP 64 Software Version 470,,5/23/22 16:31,,,,,,,,,,,
,WAYPOINT,169,-17.476961,-149.806217,-17.476961,-149.806217,,,"Flag, Blue",,,,12.842629,,,2022/05/24 02:34:17+00,,,,,,,,,,,,,,garmin GPSMAP 64 Software Version 470,,5/23/22 16:34,,,,,,,,,,,
