Date,Coral_ID,Forward.SeqRun.ID,Reverse.SeqRun.ID,mtORF.Name,PocHistone.RFLP.Name,Seq.Run,Notes
20220512,POC-149-TPC,PH39_220621,PH40_220621,P. tuahiniensis,NA,220621,
20220512,POC-150-TPC,KXPT63_220825B,KXPT64_220825B,Haplotype 1,P. grandis,220825,
20220512,POC-151-TPC,PH11_220621,PH12_220621,Haplotype 1,P. grandis,220621,
20220512,POC-152-TPC,KXTP03_230223,NA,NA,NA,230223,NO TPC in Dec 22
20220514,POC-154-TPC,KXTP163_220915,KXTP164_220915,P. verrucosa,NA,220915,
20220514,POC-155-TPC,HP02_230727,HP30_230727,P. verrucosa,NA,230727,
20220514,POC-156-TPC,KXTP169_220915,KXTP170_220915,Haplotype 1,P. grandis,220825A,
20220514,POC-157-TPC,HP03_230727A,HP31_230727A,Haplotype 1,P. grandis,230727A,
20220515,POC-159-TPC,PH33_220621,PH34_220621,Haplotype 1,P. grandis,220621,
20220515,POC-161-TPC,PH15_220621,PH16_220621,Haplotype 1,P. meandrina,220621,
20220515,POC-162-TPC,PH03_220621,PH04_220621,P. verrucosa,NA,220621,
20220515,POC-163-TPC,HP05_230801A,HP33_230801A,Haplotype 1,,230801A,Needs PocHistone RFLP
20220522,POC-164-TPC,HP06_230801A,HP34_230801A,Haplotype 1,,230801A,Needs PocHistone RFLP
20220522,POC-165-TPC,KXTP55_220825A,KXTP56_220825A,Haplotype 1,P. grandis,220825A,
20220522,POC-166-TPC,KXTP69_220825B,KXTP70_220825B,P. verrucosa,NA,220825B,
20220522,POC-167-TPC,KXTP57_220825A,KXTP58_220825A,Haplotype 1,P. grandis,220825A,
20220523,POC-168-TPC,KXTP51_220825A,KXTP52_220825A,Haplotype 1,P. grandis,220825A,
20220523,POC-169-TPC,KXTP117_220912,KXTP118_220912,P. verrucosa,NA,220912,
20220523,POC-170-TPC,HP07_230801A,HP35_230801A,P. verrucosa,NA,230801A,
20220523,POC-171-TPC,HP08_230801A,HP36_230801A,Haplotype 1,,230801A,Needs PocHistone RFLP
20220524,POC-172-TPC,HP09_230801A,HP37_230801A,Haplotype 1,,230801A,Needs PocHistone RFLP
20220524,POC-173-TPC,HP10_230801A,HP38_230801A,P. verrucosa,NA,230801A,
20220524,POC-174-TPC,PH27_220621,PH28_220621,Haplotype 1,P. grandis,220621,
20220524,POC-175-TPC,KXTP49_220825A,KXTP50_220825A,P. verrucosa,NA,220825A,
20220525,POC-177-TPC,KXTP113_220912,KXTP114_220912,P. verrucosa,NA,220912,
20220525,POC-178-TPC,KXTP65_220825B,KXTP66_220825B,Haplotype 1,P. grandis,220825B,
20220525,POC-179-TPC,KXTP107_220912,KXTP108_220912,P. verrucosa,NA,220912,
20220525,POC-180-TPC,KXTP105_220912,KXTP106_220912,P. tuahiniensis,NA,220912,
20220528,POC-181-TPC,PH23_220621,PH24_220621,P. verrucosa,NA,220621,
20220528,POC-182-TPC,HP11_230801A,HP39_230801A,P. verrucosa,NA,230801A,
20220528,POC-183-TPC,KXTP61_220825A,KXTP62_220825A,P. verrucosa,NA,220825A,
20220528,POC-184-TPC,KXTP53_220825A,KXTP54_220825A,P. verrucosa,NA,220825A,
