fragment_ID,species,cells.cm2,timepoint
POC-149,Pocillopora,201898.77766424263,MAY
POC-150,Pocillopora,690136.5643648114,MAY
POC-151,Pocillopora,79320.9053707495,MAY
POC-152,Pocillopora,391445.70306797524,MAY
POC-154,Pocillopora,473827.58722577756,MAY
POC-155,Pocillopora,504383.7655571389,MAY
POC-156,Pocillopora,376308.6344227232,MAY
POC-157,Pocillopora,545782.2547607827,MAY
POC-159,Pocillopora,358311.9269504302,MAY
POC-160,Pocillopora,913185.9192867201,MAY
POC-161,Pocillopora,1013407.9524067815,MAY
POC-162,Pocillopora,384523.04373780853,MAY
POC-164,Pocillopora,213471.8287054282,MAY
POC-165,Pocillopora,401552.77116053825,MAY
POC-166,Pocillopora,319670.4269756477,MAY
POC-167,Pocillopora,575541.3320727008,MAY
POC-168,Pocillopora,566631.5334375316,MAY
POC-169,Pocillopora,366967.6244720844,MAY
POC-170,Pocillopora,445304.027333374,MAY
POC-171,Pocillopora,731094.9215212499,MAY
POC-172,Pocillopora,951671.0921052439,MAY
POC-173,Pocillopora,321169.56023183576,MAY
POC-174,Pocillopora,805671.206609937,MAY
POC-175,Pocillopora,460687.98409286165,MAY
POC-177,Pocillopora,698502.9512327797,MAY
POC-178,Pocillopora,498259.1042273581,MAY
POC-179,Pocillopora,210229.65506247495,MAY
POC-180,Pocillopora,381974.7419120779,MAY
POC-181,Pocillopora,372691.50438817637,MAY
POC-182,Pocillopora,506767.5454623418,MAY
POC-183,Pocillopora,858946.4806737361,MAY
POC-184,Pocillopora,333608.9340643911,MAY
