fragment_ID,chla.ug.cm2,chlc2.ug.cm2,timepoint
POC-149,1.6417552239597781,0.46994542289724434,May2022
POC-150,4.895107734517215,1.354742065076821,May2022
POC-151,1.2376431747652603,0.4404042543711133,May2022
POC-152,3.477601568522631,0.9977390293388837,May2022
POC-154,1.8464945209012784,0.6104875129623245,May2022
POC-155,2.5190169929221593,0.7467955241011247,May2022
POC-156,4.54577575117646,1.7246784621174038,May2022
POC-157,6.203077190579539,1.494761150226094,May2022
POC-159,6.168393900687955,2.2622635813207044,May2022
POC-160,5.716699647608238,1.4388071058997856,May2022
POC-161,4.423781780114939,1.2864150886206243,May2022
POC-162,1.9194888997233515,0.7383551891876141,May2022
POC-164,1.7903055132099817,0.5633576041905528,May2022
POC-165,3.9408905705207706,1.194274998527611,May2022
POC-166,3.074400092343849,0.9632749932434966,May2022
POC-167,6.115589597220534,1.583565488937721,May2022
POC-168,5.870826679308663,1.6300031949416283,May2022
POC-169,2.7942606525276057,0.726445835344348,May2022
POC-170,2.67297374925315,0.7482389724538495,May2022
POC-171,4.931669890507468,1.565072507189199,May2022
POC-172,5.48968056857914,1.6843612493565827,May2022
POC-173,1.9773962132571987,0.6071038999829642,May2022
POC-174,4.619937145996467,1.2641932534446583,May2022
POC-175,2.3871847339177377,0.6478130636701944,May2022
POC-177,2.758791334430539,0.9880863530554428,May2022
POC-178,4.351448886747942,1.4512110439469004,May2022
POC-179,2.071163664627857,0.8029591757908665,May2022
POC-180,5.549254835297453,1.7330858344449949,May2022
POC-181,1.3924883972137387,0.7116374871062962,May2022
POC-182,2.232137732822719,1.0746101418046967,May2022
POC-183,4.171533709645647,1.192458220189734,May2022
POC-184,1.8244681161192438,0.9504147854901102,May2022
