fragment_ID,prot_ug,prot_ug.cm2,timepoint
POC-149,13385.682337661061,545.8554147040996,MAY
POC-150,43345.81518216184,1152.7757984358093,MAY
POC-151,7158.01474625785,522.096745131355,MAY
POC-152,18106.70807812814,638.6597851449108,MAY
POC-154,3539.659862122163,345.3669996539044,MAY
POC-155,16710.22811191716,870.6491822745231,MAY
POC-156,37510.674272291566,837.3064129519494,MAY
POC-157,24096.616756628457,996.32619890448,MAY
POC-159,53982.11165799142,1130.0351187358244,MAY
POC-160,34613.61211360793,1106.1649413053024,MAY
POC-161,37089.966479550305,1328.3284362661295,MAY
POC-162,29662.032433879536,647.5012770323563,MAY
POC-164,22618.713620888884,672.175149830468,MAY
POC-165,36320.87786225226,938.4289001546923,MAY
POC-166,29212.89231271064,757.1754939565805,MAY
POC-167,25714.196366712335,941.5776397231207,MAY
POC-168,35397.20118665055,969.8238930329941,MAY
POC-169,23260.959615721276,634.648259711697,MAY
POC-170,22130.37348225979,709.3146188609878,MAY
POC-171,24206.129514117572,647.4504277118415,MAY
POC-172,42429.83048654348,1092.8076621642545,MAY
POC-173,66689.19601959076,1038.4746549249287,MAY
POC-174,25987.352285225264,704.3259073413865,MAY
POC-175,22452.512198922064,670.9001188741229,MAY
POC-177,18147.70574097449,798.9218078681557,MAY
POC-178,47921.75451925784,1337.672295785365,MAY
POC-179,23728.61506882315,747.3346158844847,MAY
POC-180,35959.339207773315,1244.162981269753,MAY
POC-181,14201.061090545518,481.1468019767096,MAY
POC-182,38302.8542744418,845.165897454019,MAY
POC-183,40127.46623053678,1181.7375736139575,MAY
POC-184,19725.520522649047,655.3984314149986,MAY
