fragment_ID,prot_ug,prot_ug.cm2
POC-149,8941.063390837753,364.6080746567441
POC-150,16676.353389879463,443.50524988920574
POC-151,3346.216643564844,244.06890458320373
POC-152,11477.504478782399,404.83452391179827
POC-154,2922.161417803687,285.1172600426622
POC-155,10276.820086868916,535.4507996592677
POC-156,20062.6930287479,447.835765684058
POC-157,12797.302241049047,529.1318539374975
POC-159,23834.730045701574,498.94457941686346
POC-160,19312.49694870255,617.1793623735052
POC-161,17428.325775164372,624.1725976329719
POC-162,22692.52589433569,495.3618579045697
POC-164,15416.993128459244,458.15689785678177
POC-165,20586.567807269385,531.8987679373736
POC-166,20519.574725037473,531.8514497603869
POC-167,17308.14472885211,633.7729489720925
POC-168,17567.823961617003,481.32888633577045
POC-169,15044.233267971422,410.4644270893216
POC-170,17079.501864765007,547.4259331977732
POC-171,16797.228844801735,449.2817818560293
POC-172,24803.621849239797,638.8332853432078
POC-173,44325.58459560284,690.231685410366
POC-174,14332.377222265775,388.44528987166336
POC-175,16446.159499276644,491.4252029052326
POC-177,13226.322574851534,582.2663037283949
POC-178,24679.88695788957,688.9063511524098
POC-179,17585.81845168833,553.8667486276772
POC-180,22266.372879936775,770.3978291786175
POC-181,11200.969603238927,379.5005647306682
POC-182,25724.175791671627,567.6129502897194
POC-183,25761.488548111967,758.6653688680296
POC-184,13431.018753073084,446.2578623951755
