Run,Light_Level,Light_Value,Date,Start.time,Stop.time
5,1,620,20220513,10:49,10:59
5,0,0,20220513,11:05,11:27
6,1,620,20220513,13:50,14:10
6,0,0,20220513,14:12,14:32
7,1,620,20220513,18:27,18:47
7,0,0,20220513,18:50,19:10
8,1,620,20220514,8:35,8:55
8,0,0,20220514,8:57,9:17
9,1,620,20220514,11:06,11:28
9,0,0,20220514,11:30,11:51
10,1,620,20220514,13:08,13:29
10,0,0,20220514,13:32,13:53
11,1,620,20220516,16:29,16:50
11,0,0,20220516,16:55,17:15
12,1,620,20220516,18:44,19:05
12,0,0,20220516,19:09,19:30
13,1,620,20220516,21:55,22:17
13,0,0,20220516,22:21,22:43
14,1,620,20220523,9:15,9:35
14,0,0,20220523,9:40,10:02
15,1,620,20220523,12:10,12:31
15,0,0,20220523,12:36,12:57
16,1,620,20220523,14:53,15:16
16,0,0,20220523,15:21,15:42
17,1,620,20220524,10:33:00,10:57:00
17,0,0,20220524,11:02:00,11:22:00
18,1,620,20220524,13:20:00,13:40:00
18,0,0,20220524,13:56:00,14:16:00
19,1,620,20220524,17:03:00,17:25:00
19,0,0,20220524,17:30:00,17:50:00
20,1,620,20220525,9:10,9:32
20,0,0,20220525,9:40,10:00
21,1,620,20220525,11:32,11:54
21,0,0,20220525,12:12,12:34
22,1,620,20220525,15:38,16:00
22,0,0,20220525,16:05,16:26
23,1,620,20220526,10:20,10:44
23,0,0,20220526,10:50,11:13
24,1,620,20220526,14:52,15:14
24,0,0,20220526,15:20,15:50
25,1,620,20220526,17:12,17:34
25,0,0,20220526,17:39,18:00
26,1,620,20220529,10:43,11:03
26,0,0,20220529,11:08,11:30
27,1,620,20220529,13:23,13:44
27,0,0,20220529,13:40,14:10
28,1,620,20220529,15:53,16:14
28,0,0,20220529,16:15,16:41
