well,sample_id
A1,STD-A
A2,STD-A
A3,STD-B
A4,STD-B
A5,STD-C
A6,STD-C
A7,STD-D
A8,STD-D
A9,STD-E
A10,STD-E
A11,STD-F
A12,STD-F
B1,STD-G
B2,STD-G
B3,STD-H
B4,STD-H
B5,STD-I
B6,STD-I
B7,POC-149
B8,POC-149
B9,POC-150
B10,POC-150
B11,POC-151
B12,POC-151
C1,POC-152
C2,POC-152
C3,POC-153
C4,POC-153
C5,POC-154
C6,POC-154
C7,POC-155
C8,POC-155
C9,POC-156
C10,POC-156
C11,POC-157
C12,POC-157
D1,POC-159
D2,POC-159
D3,POC-160
D4,POC-160
D5,POC-161
D6,POC-161
D7,POC-162
D8,POC-162
D9,POC-164
D10,POC-164
D11,POC-165
D12,POC-165
E1,POC-166
E2,POC-166
E3,POC-167
E4,POC-167
E5,POC-168
E6,POC-168
E7,POC-169
E8,POC-169
E9,POC-170
E10,POC-170
E11,POC-171
E12,POC-171
F1,POC-172
F2,POC-172
F3,POC-173
F4,POC-173
F5,POC-174
F6,POC-174
F7,POC-175
F8,POC-175
F9,POC-177
F10,POC-177
F11,POC-178
F12,POC-178
G1,POC-179
G2,POC-179
G3,POC-180
G4,POC-180
G5,POC-181
G6,POC-181
G7,POC-182
G8,POC-182
G9,POC-183
G10,POC-183
G11,POC-184
G12,POC-184
H1,ACR-465-MAY
H2,ACR-465-MAY
H3,ACR-465-JUNE
H4,ACR-465-JUNE
H5,ACR-465-JULY
H6,ACR-465-JULY
H7,NA
H8,NA
H9,NA
H10,NA
H11,NA
H12,NA
