fragment_ID,prot_ug,prot_ug.cm2,timepoint
POC-149,13385.682337661061,545.8554147040996,MARCH
POC-150,43345.81518216184,1152.7757984358093,MARCH
POC-151,7158.01474625785,522.096745131355,MARCH
POC-152,18106.70807812814,638.6597851449108,MARCH
POC-154,3539.659862122163,345.3669996539044,MARCH
POC-155,16710.22811191716,870.6491822745231,MARCH
POC-156,37510.674272291566,837.3064129519494,MARCH
POC-157,24096.616756628457,996.32619890448,MARCH
POC-159,53982.11165799142,1130.0351187358244,MARCH
POC-161,37089.966479550305,1328.3284362661295,MARCH
POC-162,29662.032433879536,647.5012770323563,MARCH
POC-163,34613.61211360793,1106.1649413053024,MARCH
POC-164,22618.713620888884,672.175149830468,MARCH
POC-165,36320.87786225226,938.4289001546923,MARCH
POC-166,29212.89231271064,757.1754939565805,MARCH
POC-167,25714.196366712335,941.5776397231207,MARCH
POC-168,35397.20118665055,969.8238930329941,MARCH
POC-169,23260.959615721276,634.648259711697,MARCH
POC-170,22130.37348225979,709.3146188609878,MARCH
POC-171,24206.129514117572,647.4504277118415,MARCH
POC-172,42429.83048654348,1092.8076621642545,MARCH
POC-173,66689.19601959076,1038.4746549249287,MARCH
POC-174,25987.352285225264,704.3259073413865,MARCH
POC-175,22452.512198922064,670.9001188741229,MARCH
POC-177,18147.70574097449,798.9218078681557,MARCH
POC-178,47921.75451925784,1337.672295785365,MARCH
POC-179,23728.61506882315,747.3346158844847,MARCH
POC-180,35959.339207773315,1244.162981269753,MARCH
POC-181,14201.061090545518,481.1468019767096,MARCH
POC-182,38302.8542744418,845.165897454019,MARCH
POC-183,40127.46623053678,1181.7375736139575,MARCH
POC-184,19725.520522649047,655.3984314149986,MARCH
