"","colony_id","Light_Value","Run","micromol.cm2.s","micromol.cm2.h","timepoint"
"1","POC-PI","178",1,0.000182613495063059,0.657408582227012,"timepoint1"
"2","POC-PI","268.5",1,0.000351627624262211,1.26585944734396,"timepoint1"
"3","POC-PI","354",1,0.000447748829059788,1.61189578461524,"timepoint1"
"4","POC-PI","435",1,0.000467473559836037,1.68290481540973,"timepoint1"
"5","POC-PI","494",1,0.000524625131979142,1.88865047512491,"timepoint1"
"6","POC-PI","560.5",1,0.000456676804176207,1.64403649503435,"timepoint1"
"7","POC-PI","643",1,0.000486537399629144,1.75153463866492,"timepoint1"
"8","POC-PI","66",1,0.00010472490514226,0.377009658512136,"timepoint1"
"9","POC-PI","663.5",1,0.000463714764304709,1.66937315149695,"timepoint1"
"10","POC-PI","718.5",1,0.00039713761234073,1.42969540442663,"timepoint1"
"11","POC-PI","755",1,0.000390613979697428,1.40621032691074,"timepoint1"
"12","POC-PI","809",1,0.00038367522053005,1.38123079390818,"timepoint1"
