fragment_ID,Morphology,cells.cm2
POC-149,meandrina,201898.77766424263
POC-150,grandis,690136.5643648114
POC-151,grandis,79320.9053707495
POC-152,meandrina,391445.70306797524
POC-154,verrucosa,473827.58722577756
POC-155,verrucosa,504383.7655571389
POC-156,grandis,376308.6344227232
POC-157,meandrina,545782.2547607827
POC-159,grandis,358311.9269504302
POC-161,meandrina,1013407.9524067815
POC-162,meandrina,384523.04373780853
POC-163,grandis,913185.9192867201
POC-164,meandrina,213471.8287054282
POC-165,grandis,401552.77116053825
POC-166,verrucosa,319670.4269756477
POC-167,grandis,575541.3320727008
POC-168,grandis,566631.5334375316
POC-169,meandrina,366967.6244720844
POC-170,grandis,445304.027333374
POC-171,grandis,731094.9215212499
POC-172,grandis,951671.0921052439
POC-173,verrucosa,321169.56023183576
POC-174,meandrina,805671.206609937
POC-175,verrucosa,460687.98409286165
POC-177,verrucosa,698502.9512327797
POC-178,grandis,498259.1042273581
POC-179,verrucosa,210229.65506247495
POC-180,meandrina,381974.7419120779
POC-181,verrucosa,372691.50438817637
POC-182,verrucosa,506767.5454623418
POC-183,verrucosa,858946.4806737361
POC-184,verrucosa,333608.9340643911
