fragment_ID,partner,Morphology,AFDW.mg.cm2,DW.mg.cm2
POC-149,Host,meandrina,1.7412654521381499,126.34165395349932
POC-149,Sym,meandrina,0.6779517129226545,158.28796203792618
POC-150,Host,grandis,2.094345065268921,113.8791818346868
POC-150,Sym,grandis,1.4211627228610233,145.7212052841661
POC-151,Host,grandis,1.050318195254044,90.65558922786626
POC-151,Sym,grandis,1.0393773807201405,129.8309991355716
POC-152,Host,meandrina,0.6172599785565995,105.14406474733073
POC-152,Sym,meandrina,1.0956364619379595,136.8169969470238
POC-154,Host,verrucosa,1.2732973000352947,64.86986282976747
POC-154,Sym,verrucosa,0.3658900287457881,100.32460661523295
POC-155,Host,verrucosa,3.0219606957914,255.13163688072055
POC-155,Sym,verrucosa,1.1397481072489428,321.11198045167663
POC-156,Host,grandis,2.343790802632848,162.22827063138064
POC-156,Sym,grandis,1.5625272017552585,204.49965384772298
POC-157,Host,meandrina,2.381595293501592,153.19529031168
POC-157,Sym,meandrina,1.7986006122798468,189.27893983665993
POC-159,Host,grandis,2.126844699795356,79.9450778397484
POC-159,Sym,grandis,1.9991502837643176,99.48860354574187
POC-161,Host,meandrina,2.7562213223192304,182.3360738701203
POC-161,Sym,meandrina,1.8623117042697541,229.38666280476272
POC-162,Host,meandrina,2.406461557857245,114.27199712510246
POC-162,Sym,meandrina,0.794586363443432,140.11788323271333
POC-163,Host,grandis,2.444749705177053,137.20957985853133
POC-163,Sym,grandis,1.2583270541352918,173.39986487327312
POC-164,Host,meandrina,2.032687668229866,111.76513233107819
POC-164,Sym,meandrina,1.025259130905407,137.51250946199
POC-165,Host,grandis,2.144485576814461,128.0412912411976
POC-165,Sym,grandis,1.356451720274187,156.69278122034183
POC-166,Host,verrucosa,2.540083933265954,97.96948215263944
POC-166,Sym,verrucosa,0.8423747737871733,121.44970700106427
POC-167,Host,grandis,2.504605224234527,157.90913449196478
POC-167,Sym,grandis,1.3594074407852,195.72675098354617
POC-168,Host,grandis,1.9233621588305645,117.64565204846981
POC-168,Sym,grandis,1.3408053511078752,145.8501690050818
POC-169,Host,meandrina,1.9862634246518764,103.29661161719787
POC-169,Sym,meandrina,0.8457989857720821,128.40047119167852
POC-170,Host,grandis,2.5641306756240514,89.44905758647556
POC-170,Sym,grandis,0.666673975662261,110.02043696433829
POC-171,Host,grandis,2.17991107697495,129.76221593664116
POC-171,Sym,grandis,0.6854014889261661,163.08677067042137
POC-172,Host,grandis,2.302554685634912,155.46880144181014
POC-172,Sym,grandis,1.9123566600490842,195.2007475916384
POC-173,Host,verrucosa,2.858993030718308,97.34902413310759
POC-173,Sym,verrucosa,1.0511003789405655,118.05180863387007
POC-174,Host,meandrina,1.409337387655856,137.41635787770247
POC-174,Sym,meandrina,1.1274699101246894,173.4555541178493
POC-175,Host,verrucosa,2.8488401104857153,119.69311782851265
POC-175,Sym,verrucosa,8.847719285869715,155.5529748915853
POC-177,Host,verrucosa,2.8659165204991663,137.3438765077327
POC-177,Sym,verrucosa,3.9675994840244093,173.18489204088044
POC-178,Host,grandis,2.813698470930951,173.7235496397415
POC-178,Sym,grandis,1.821367313772295,210.73289604533494
POC-179,Host,verrucosa,3.2880862904153685,135.83197847991642
POC-179,Sym,verrucosa,0.8149351797365911,167.2026523263551
POC-180,Host,meandrina,2.989367545398879,189.05396981672308
POC-180,Sym,meandrina,1.261139433215159,231.5401830598975
POC-181,Host,verrucosa,1.9379958228185143,126.04087867949589
POC-181,Sym,verrucosa,0.47433464194856595,158.64460910429065
POC-182,Host,verrucosa,2.5673035086158587,147.81026539183725
POC-182,Sym,verrucosa,0.9143329534874949,181.87613228543756
POC-183,Host,verrucosa,3.3601986323956714,213.00596571651656
POC-183,Sym,verrucosa,1.443030087531914,260.302749315055
POC-184,Host,verrucosa,2.033425883821063,74.46259392534898
POC-184,Sym,verrucosa,0.5980664364179492,107.06967442755293
