fragment_ID,Morphology,chla.ug.cm2,chlc2.ug.cm2
POC-149,meandrina,1.6417552239597781,0.46994542289724434
POC-150,grandis,4.895107734517215,1.354742065076821
POC-151,grandis,1.23764317476526,0.4404042543711132
POC-152,meandrina,3.477601568522631,0.9977390293388837
POC-154,verrucosa,1.846494520901278,0.6104875129623244
POC-155,verrucosa,2.5190169929221593,0.7467955241011247
POC-156,grandis,4.54577575117646,1.7246784621174038
POC-157,meandrina,6.203077190579539,1.494761150226094
POC-159,grandis,6.168393900687955,2.2622635813207044
POC-161,meandrina,4.423781780114939,1.2864150886206243
POC-162,meandrina,1.9194888997233515,0.7383551891876141
POC-163,grandis,5.7166996476082375,1.4388071058997853
POC-164,meandrina,1.7903055132099817,0.5633576041905528
POC-165,grandis,3.9408905705207706,1.194274998527611
POC-166,verrucosa,3.074400092343849,0.9632749932434966
POC-167,grandis,6.115589597220534,1.583565488937721
POC-168,grandis,5.870826679308663,1.6300031949416283
POC-169,meandrina,2.7942606525276057,0.726445835344348
POC-170,grandis,2.6729737492531505,0.7482389724538496
POC-171,grandis,4.931669890507468,1.565072507189199
POC-172,grandis,5.48968056857914,1.6843612493565827
POC-173,verrucosa,1.9773962132571987,0.6071038999829642
POC-174,meandrina,4.619937145996466,1.264193253444658
POC-175,verrucosa,2.3871847339177377,0.6478130636701944
POC-177,verrucosa,2.758791334430539,0.9880863530554428
POC-178,grandis,4.351448886747942,1.4512110439469004
POC-179,verrucosa,2.071163664627857,0.8029591757908665
POC-180,meandrina,5.549254835297453,1.7330858344449949
POC-181,verrucosa,1.3924883972137387,0.7116374871062962
POC-182,verrucosa,2.232137732822719,1.0746101418046967
POC-183,verrucosa,4.171533709645647,1.192458220189734
POC-184,verrucosa,1.8244681161192438,0.9504147854901102
