fragment_ID,Timepoint,partner,Morphology,AFDW.mg.cm2,DW.mg.cm2
POC-149,May,Host,meandrina,2.1765818151726872,169.5949732379638
POC-149,May,Sym,meandrina,0.5423613703381164,117.41104191560106
POC-150,Dec,Host,grandis,5.36779223304338,557.8416700108586
POC-150,May,Host,grandis,2.6179313315861514,149.8480623699199
POC-150,Dec,Sym,grandis,2.560023988066727,417.3430562063137
POC-150,May,Sym,grandis,1.1369301782888235,110.41653132677547
POC-151,May,Host,grandis,1.3128977440675307,133.77333930595228
POC-151,May,Sym,grandis,0.831501904576106,87.00865104990076
POC-152,May,Host,meandrina,0.7715749731957023,141.30624059106896
POC-152,May,Sym,meandrina,0.8765091695503613,101.52515767305036
POC-154,Dec,Host,verrucosa,6.801939427718332,465.8338610410634
POC-154,May,Host,verrucosa,1.5916216250440913,109.13889740771867
POC-154,Dec,Sym,verrucosa,2.190310054711854,350.977288828851
POC-154,May,Sym,verrucosa,0.29271202299663046,57.88868108129808
POC-155,May,Host,verrucosa,3.77745086973925,333.61143512271724
POC-155,May,Sym,verrucosa,0.911798485799182,244.8465499609064
POC-156,Dec,Host,grandis,5.315013909059184,435.5843347956041
POC-156,May,Host,grandis,2.92973850329109,209.0337729599592
POC-156,Dec,Sym,grandis,2.4166106406657395,329.7148658952987
POC-156,May,Sym,grandis,1.2500217614041829,158.424632985965
POC-157,Dec,Host,meandrina,3.979367331300971,317.6435911941096
POC-157,May,Host,meandrina,2.9769941168769987,203.3576411810574
POC-157,Dec,Sym,meandrina,1.8455036898787054,236.32828188703098
POC-157,May,Sym,meandrina,1.43888048982387,142.1762773651839
POC-159,May,Host,grandis,2.6585558747441995,106.0114855187363
POC-159,May,Sym,grandis,1.599320227011454,74.79124747469312
POC-161,May,Host,meandrina,3.4452766528990626,238.14489986782363
POC-161,May,Sym,meandrina,1.4898493634157524,175.34237714685497
POC-162,Dec,Host,meandrina,4.1156976586481795,267.78958303396996
POC-162,May,Host,meandrina,3.0080769473215905,149.12028477897914
POC-162,Dec,Sym,meandrina,1.728593016632239,199.20662617467087
POC-162,May,Sym,meandrina,0.6356690907547495,107.09146859787484
POC-163,May,Host,grandis,3.0559371314713384,180.6038871254239
POC-163,May,Sym,grandis,1.0066616433082052,131.3645508248466
POC-164,May,Host,meandrina,2.5408595852873384,148.25247032892386
POC-164,May,Sym,meandrina,0.8202073047243256,103.2777697865394
POC-165,Dec,Host,grandis,4.667211306674368,318.5343048431157
POC-165,May,Host,grandis,2.680606971018065,167.46559159688144
POC-165,Dec,Sym,grandis,1.2866366304886443,224.48254323635553
POC-165,May,Sym,grandis,1.0851613762193588,119.50985585006347
POC-166,May,Host,verrucosa,3.1751049165824363,129.9149254970302
POC-166,May,Sym,verrucosa,0.6738998190297386,91.20456473853318
POC-167,Dec,Host,grandis,2.884436763430426,261.54012258813447
POC-167,May,Host,grandis,3.1307565302932074,207.84882056662892
POC-167,Dec,Sym,grandis,1.009552867200647,190.50468635273793
POC-167,May,Sym,grandis,1.087525952628173,148.27519246716778
POC-168,Dec,Host,grandis,4.0445031373616,304.8137535696731
POC-168,May,Host,grandis,2.4042026985382057,154.81832454125293
POC-168,Dec,Sym,grandis,1.3997996673988942,227.1084809322264
POC-168,May,Sym,grandis,1.07264428088631,110.50838933657008
POC-169,Dec,Host,meandrina,4.204310406745574,406.481024341967
POC-169,May,Host,meandrina,2.482829280814827,137.0412627656792
POC-169,Dec,Sym,meandrina,1.6817241626981787,303.73497119262817
POC-169,May,Sym,meandrina,0.6766391886176705,96.42654114566845
POC-170,May,Host,grandis,3.2051633445300607,120.97248011259744
POC-170,May,Sym,grandis,0.533339180529806,80.82780922235864
POC-171,May,Host,grandis,2.724888846218699,169.72948129578
