Pan.ID,fragment_ID,partner,initial.mass.g,dry.pan.mass.g,burnt.pan.mass.g,dry.pan.mass.g.ml,burnt.pan.mass.g.ml,homog_vol_ml,date_airbrushed,initials,note,dry.pan.mass.g.vol.corr,burnt.pan.mass.g.vol.corr,site,species,surface.area.cm2,dry.bioimass.g,AFDW.mg.cm2,DW.mg.cm2
95,POC-149,Host,1.1445,1.2122,1.2,0.24244,0.24,17.5,2022802,DMBP,,4.2427,4.2,Manava,Pocillopora,24.522395449566524,0.04269999999999996,1.7412654521381499,NA
153,POC-149,Sym,1.1304,1.1456,1.1418,0.2864,0.28545,17.5,2022802,DMBP,,5.012,4.995374999999999,Manava,Pocillopora,24.522395449566524,0.016625000000000334,0.6779517129226545,NA
28,POC-150,Host,1.1279,1.2022,1.1847,0.24044,0.23694,22.5,2022802,DMBP,,5.4098999999999995,5.33115,Manava,Pocillopora,37.60125363576974,0.07874999999999943,2.094345065268921,NA
151,POC-150,Sym,1.1582,1.18,1.1705,0.295,0.292625,22.5,2022802,DMBP,,6.637499999999999,6.584062500000001,Manava,Pocillopora,37.60125363576974,0.05343749999999847,1.4211627228610233,NA
45,POC-151,Sym,1.1555,1.1742,1.1685,0.29355,0.292125,10,2022802,DMBP,very small frag,2.9354999999999998,2.92125,Manava,Pocillopora,13.710130953712337,0.014249999999999652,1.0393773807201405,NA
138,POC-151,Host,1.1217,1.1823,1.1751,0.23645999999999998,0.23502,10,2022802,DMBP,very small frag,2.3646,2.3502,Manava,Pocillopora,13.710130953712337,0.014399999999999746,1.050318195254044,NA
91,POC-152,Sym,1.1239,1.1435,1.1364,0.285875,0.2841,17.5,2022802,DMBP,,5.0028125,4.97175,Manava,Pocillopora,28.35110100758851,0.031062499999999993,1.0956364619379595,NA
292,POC-152,Host,1.12,1.1717,1.1667,0.23434,0.23334000000000002,17.5,2022802,DMBP,,4.10095,4.08345,Manava,Pocillopora,28.35110100758851,0.01750000000000007,0.6172599785565995,NA
110,POC-154,Host,1.15,1.2099,1.2012,0.24198,0.24024,7.5,2022802,DMBP,very small frag,1.81485,1.8018,Manava,Pocillopora,10.248981129260441,0.013050000000000006,1.2732973000352947,NA
192,POC-154,Sym,1.1464,1.1598,1.1578,0.28995,0.28945,7.5,2022802,DMBP,very small frag,2.174625,2.1708749999999997,Manava,Pocillopora,10.248981129260441,0.003750000000000142,0.3658900287457881,NA
68,POC-155,Sym,1.1557,1.171,1.1675,0.29275,0.291875,25,2022802,DMBP,,7.3187500000000005,7.296875,Manava,Pocillopora,19.192837312799867,0.021875000000000533,1.1397481072489428,NA
121,POC-155,Host,1.1283,1.205,1.1934,0.24100000000000002,0.23868,25,2022802,DMBP,,6.025,5.9670000000000005,Manava,Pocillopora,19.192837312799867,0.05799999999999983,3.0219606957914,NA
93,POC-156,Host,1.1197,1.1982,1.1832,0.23964,0.23664000000000002,35,2022802,DMBP,,8.3874,8.2824,Manava,Pocillopora,44.79922008485105,0.10499999999999865,2.343790802632848,NA
187,POC-156,Sym,1.1592,1.1795,1.1715,0.294875,0.292875,35,2022802,DMBP,,10.320625,10.250625,Manava,Pocillopora,44.79922008485105,0.07000000000000028,1.5625272017552585,NA
123,POC-157,Host,1.1477,1.2132,1.1988,0.24264000000000002,0.23976000000000003,20,2022802,DMBP,,4.8528,4.7952,Manava,Pocillopora,24.18546936046058,0.057599999999999874,2.381595293501592,NA
276,POC-157,Sym,1.1182,1.1392,1.1305,0.2848,0.282625,20,2022802,DMBP,,5.696,5.6525,Manava,Pocillopora,24.18546936046058,0.04349999999999987,1.7986006122798468,NA
50,POC-159,Sym,1.1464,1.1798,1.1607,0.29495,0.290175,20,2022802,DMBP,,5.899,5.8035000000000005,Manava,Pocillopora,47.77029559787617,0.09549999999999947,1.9991502837643176,NA
96,POC-159,Host,1.1618,1.2452,1.2198,0.24904,0.24396,20,2022802,DMBP,,4.9808,4.8792,Manava,Pocillopora,47.77029559787617,0.10160000000000036,2.126844699795356,NA
24,POC-163,Host,1.138,1.207,1.19,0.2414,0.238,22.5,2022802,DMBP,,5.4315,5.3549999999999995,Manava,Pocillopora,31.291546876149418,0.07650000000000023,2.444749705177053,NA
29,POC-163,Sym,1.1508,1.1692,1.1622,0.2923,0.29055,22.5,2022802,DMBP,,6.5767500000000005,6.537374999999999,Manava,Pocillopora,31.291546876149418,0.03937500000000149,1.2583270541352918,NA
46,POC-161,Sym,1.1402,1.1608,1.1528,0.2902,0.2882,26,2022802,DMBP,,7.5452,7.4932,Manava,Pocillopora,27.922285985090035,0.05200000000000049,1.8623117042697541,NA
145,POC-161,Host,1.142,1.1987,1.1839,0.23974,0.23678,26,2022802,DMBP,,6.23324,6.15628,Manava,Pocillopora,27.922285985090035,0.07696000000000058,2.7562213223192304,NA
54,POC-162,Sym,1.1459,1.1638,1.1582,0.29095,0.28955,26,2022802,DMBP,,7.564699999999999,7.5283,Manava,Pocillopora,45.809998352168954,0.036399999999999544,0.794586363443432,NA
102,POC-162,Host,1.1508,1.228,1.2068,0.24559999999999998,0.24136000000000002,26,2022802,DMBP,,6.385599999999999,6.275360000000001,Manava,Pocillopora,45.809998352168954,0.11023999999999834,2.406461557857245,NA
17,POC-164,Host,1.1503,1.2278,1.2107,0.24556,0.24214000000000002,20,2022802,DMBP,,4.9112,4.8428,Manava,Pocillopora,33.65002949989098,0.06839999999999957,2.032687668229866,NA
42,POC-164,Sym,1.1327,1.152,1.1451,0.288,0.286275,20,2022802,DMBP,,5.76,5.7255,Manava,Pocillopora,33.65002949989098,0.03449999999999953,1.025259130905407,NA
76,POC-165,Host,1.1478,1.2207,1.2041,0.24413999999999997,0.24081999999999998,25,2022802,DMBP,,6.1034999999999995,6.020499999999999,Manava,Pocillopora,38.70392083648006,0.08300000000000018,2.144485576814461,NA
176,POC-165,Sym,1.131,1.1513,1.1429,0.287825,0.285725,25,2022802,DMBP,,7.195625,7.143125,Manava,Pocillopora,38.70392083648006,0.052499999999999325,1.356451720274187,NA
31,POC-166,Host,1.1502,1.2325,1.208,0.2465,0.24159999999999998,20,2022802,DMBP,,4.93,4.832,Manava,Pocillopora,38.581402258623314,0.097999999999999865,2.540083933265954,NA
