fragment_ID,Timepoint,ID,surface.area.cm2
POC-149,May,POC-149May,24.522395449566524
POC-150,May,POC-150May,37.60125363576974
POC-151,May,POC-151May,13.710130953712337
POC-152,May,POC-152May,28.35110100758851
POC-154,May,POC-154May,10.248981129260441
POC-155,May,POC-155May,19.192837312799867
POC-156,May,POC-156May,44.79922008485105
POC-157,May,POC-157May,24.18546936046058
POC-159,May,POC-159May,47.77029559787617
POC-163,May,POC-163May,31.291546876149418
POC-161,May,POC-161May,27.922285985090035
POC-162,May,POC-162May,45.809998352168954
POC-164,May,POC-164May,33.65002949989098
POC-165,May,POC-165May,38.70392083648006
POC-166,May,POC-166May,38.581402258623314
POC-167,May,POC-167May,27.30969309580655
POC-168,May,POC-168May,36.49858643505941
POC-169,May,POC-169May,36.65173465738026
POC-170,May,POC-170May,31.199657942756886
POC-171,May,POC-171May,37.38684612452046
POC-172,May,POC-172May,38.82643941433681
POC-173,May,POC-173May,64.21841467513882
POC-174,May,POC-174May,36.896771813093636
POC-175,May,POC-175May,33.46625163310591
POC-177,May,POC-177May,22.715246426180126
POC-178,May,POC-178May,35.82473425684753
POC-179,May,POC-179May,31.750991543112022
POC-180,May,POC-180May,28.902434607943697
POC-181,May,POC-181May,29.51502749722721
POC-182,May,POC-182May,45.31992404074214
POC-183,May,POC-183May,33.95632594453273
POC-184,May,POC-184May,30.096990742046557
POC-150,Dec,POC-150Dec,17.92170706753656
POC-154,Dec,POC-154Dec,25.128862409957186
POC-156,Dec,POC-156Dec,43.15134521267841
POC-157,Dec,POC-157Dec,36.4128234305597
POC-159,Dec,POC-159Dec,NA
POC-162,Dec,POC-162Dec,29.156660656996316
POC-165,Dec,POC-165Dec,17.440821649449
POC-167,Dec,POC-167Dec,24.268169400513827
POC-168,Dec,POC-168Dec,30.504365013420127
POC-169,Dec,POC-169Dec,27.97129341623274
POC-174,Dec,POC-174Dec,25.10742165883231
POC-175,Dec,POC-175Dec,16.77309540012994
POC-178,Dec,POC-178Dec,32.54123637028783
POC-179,Dec,POC-179Dec,15.155850172421454
POC-181,Dec,POC-181Dec,27.75382294053705
POC-178.2,Dec,POC-178.2Dec,32.77095870376916
