fragment_ID,Timepoint,surface.area.cm2
POC-149,May,24.522395449566524
POC-150,May,37.60125363576974
POC-151,May,13.710130953712337
POC-152,May,28.35110100758851
POC-154,May,10.248981129260441
POC-155,May,19.192837312799867
POC-156,May,44.79922008485105
POC-157,May,24.18546936046058
POC-159,May,47.77029559787617
POC-163,May,31.291546876149418
POC-161,May,27.922285985090035
POC-162,May,45.809998352168954
POC-164,May,33.65002949989098
POC-165,May,38.70392083648006
POC-166,May,38.581402258623314
POC-167,May,27.30969309580655
POC-168,May,36.49858643505941
POC-169,May,36.65173465738026
POC-170,May,31.199657942756886
POC-171,May,37.38684612452046
POC-172,May,38.82643941433681
POC-173,May,64.21841467513882
POC-174,May,36.896771813093636
POC-175,May,33.46625163310591
POC-177,May,22.715246426180126
POC-178,May,35.82473425684753
POC-179,May,31.750991543112022
POC-180,May,28.902434607943697
POC-181,May,29.51502749722721
POC-182,May,45.31992404074214
POC-183,May,33.95632594453273
POC-184,May,30.096990742046557
POC-150,December,17.92170706753656
POC-154,December,25.128862409957186
POC-156,December,43.15134521267841
POC-157,December,36.4128234305597
POC-159,December,NA
POC-162,December,29.156660656996316
POC-165,December,17.440821649449
POC-167,December,24.268169400513827
POC-168,December,30.504365013420127
POC-169,December,27.97129341623274
POC-174,December,25.10742165883231
POC-175,December,16.77309540012994
POC-178,December,32.54123637028783
POC-179,December,15.155850172421454
POC-181,December,27.75382294053705
POC-178.2,December,32.77095870376916
