fragment_ID,Timepoint,weight1.g,weight2.g,weight3.g,Notes,delta.mass.g,surface.area.cm2
POC-149,May,5.218,5.799,NA,NA,0.5810000000000004,24.522395449566524
POC-150,May,12.556,13.564,NA,NA,1.008000000000001,37.60125363576974
POC-151,May,4.054,4.282,NA,NA,0.22799999999999976,13.710130953712337
POC-152,May,9.013,9.719,NA,NA,0.7059999999999995,28.35110100758851
POC-154,May,0.906,1.021,NA,NA,0.11499999999999988,10.248981129260441
POC-155,May,7.197,7.604,NA,NA,0.40700000000000003,19.192837312799867
POC-156,May,16.218,17.461,NA,NA,1.2429999999999986,44.79922008485105
POC-157,May,8.464,9.034,NA,NA,0.5700000000000003,24.18546936046058
POC-159,May,16.892,18.232,NA,NA,1.3399999999999999,47.77029559787617
POC-163,May,10.667,11.469,NA,NA,0.8019999999999996,31.291546876149418
POC-161,May,7.819,8.511,NA,NA,0.6919999999999993,27.922285985090035
POC-162,May,15.934,17.21,NA,NA,1.2760000000000016,45.809998352168954
POC-164,May,8.768,9.647,NA,NA,0.8789999999999996,33.65002949989098
POC-165,May,13.843,14.887,NA,NA,1.0440000000000005,38.70392083648006
POC-166,May,11.221,12.261,NA,NA,1.0399999999999991,38.581402258623314
POC-167,May,10.651,11.323,NA,NA,0.6720000000000006,27.30969309580655
POC-168,May,13.719,14.691,NA,NA,0.9720000000000013,36.49858643505941
POC-169,May,13.1,14.077,NA,NA,0.9770000000000003,36.65173465738026
POC-170,May,11.859,12.658,NA,NA,0.7989999999999995,31.199657942756886
POC-171,May,13.211,14.212,NA,NA,1.0009999999999994,37.38684612452046
POC-172,May,15.174,16.222,NA,NA,1.0480000000000018,38.82643941433681
POC-173,May,23.935,25.812,NA,NA,1.8770000000000024,64.21841467513882
POC-174,May,15.174,16.159,NA,NA,0.9849999999999994,36.896771813093636
POC-175,May,9.239,10.112,NA,NA,0.8729999999999993,33.46625163310591
POC-177,May,6.588,7.11,NA,NA,0.5220000000000002,22.715246426180126
POC-178,May,15.109,16.059,NA,NA,0.9500000000000011,35.82473425684753
POC-179,May,11.226,12.043,NA,NA,0.8169999999999984,31.750991543112022
POC-180,May,6.707,7.431,NA,NA,0.7240000000000002,28.902434607943697
POC-181,May,9.207,9.951,NA,NA,0.7439999999999998,29.51502749722721
POC-182,May,15.177,16.437,NA,NA,1.2600000000000016,45.31992404074214
POC-183,May,12.992,13.881,NA,NA,0.8889999999999993,33.95632594453273
POC-184,May,7.558,8.321,NA,NA,0.7629999999999999,30.096990742046557
