Well,fragment_ID,Timepoint
A1,NA,NA
A2,NA,NA
A3,NA,NA
A4,NA,NA
A5,NA,NA
A6,NA,NA
A7,NA,NA
A8,NA,NA
A9,NA,NA
A10,NA,NA
A11,NA,NA
A12,NA,NA
B1,NA,NA
B2,NA,NA
B3,NA,NA
B4,NA,NA
B5,NA,NA
B6,NA,NA
B7,NA,NA
B8,NA,NA
B9,NA,NA
B10,NA,NA
B11,NA,NA
B12,NA,NA
C1,NA,NA
C2,NA,NA
C3,NA,NA
C4,NA,NA
C5,NA,NA
C6,NA,NA
C7,NA,NA
C8,NA,NA
C9,NA,NA
C10,NA,NA
C11,NA,NA
C12,NA,NA
D1,NA,NA
D2,NA,NA
D3,NA,NA
D4,NA,NA
D5,NA,NA
D6,NA,NA
D7,NA,NA
D8,NA,NA
D9,NA,NA
D10,NA,NA
D11,NA,NA
D12,NA,NA
E1,StandardA,NA
E2,StandardB,NA
E3,StandardC,NA
E4,StandardD,NA
E5,StandardE,NA
E6,StandardF,NA
E7,StandardG,NA
E8,StandardH,NA
E9,StandardI,NA
E10,POC-157,Dec
E11,POC-169,Dec
E12,POC-167,Dec
F1,StandardA,NA
F2,StandardB,NA
F3,StandardC,NA
F4,StandardD,NA
F5,StandardE,NA
F6,StandardF,NA
F7,StandardG,NA
F8,StandardH,NA
F9,StandardI,NA
F10,POC-157,Dec
F11,POC-169,Dec
F12,POC-167,Dec
G1,POC-178,Dec
G2,POC-156,Dec
G3,POC-178.2,Dec
G4,POC-175,Dec
G5,POC-162,Dec
G6,POC-150,Dec
G7,POC-179,Dec
G8,POC-165,Dec
G9,POC-168,Dec
G10,POC-181,Dec
G11,POC-154,Dec
G12,POC-174,Dec
H1,POC-178,Dec
H2,POC-156,Dec
H3,POC-178.2,Dec
H4,POC-175,Dec
H5,POC-162,Dec
H6,POC-150,Dec
H7,POC-179,Dec
H8,POC-165,Dec
H9,POC-168,Dec
H10,POC-181,Dec
H11,POC-154,Dec
H12,POC-174,Dec
