Well,fragment_ID,Timepoint
A1,StandardA,NA
A2,StandardA,NA
A3,StandardB,NA
A4,StandardB,NA
A5,StandardC,NA
A6,StandardC,NA
A7,StandardD,NA
A8,StandardD,NA
A9,StandardE,NA
A10,StandardE,NA
A11,StandardF,NA
A12,StandardF,NA
B1,StandardG,NA
B2,StandardG,NA
B3,StandardH,NA
B4,StandardH,NA
B5,StandardI,NA
B6,StandardI,NA
B7,POC-149,May
B8,POC-149,May
B9,POC-150,May
B10,POC-150,May
B11,POC-151,May
B12,POC-151,May
C1,POC-152,May
C2,POC-152,May
C3,POC-154,May
C4,POC-154,May
C5,POC-155,May
C6,POC-155,May
C7,POC-156,May
C8,POC-156,May
C9,POC-157,May
C10,POC-157,May
C11,POC-159,May
C12,POC-159,May
D1,POC-163,May
D2,POC-163,May
D3,POC-161,May
D4,POC-161,May
D5,POC-162,May
D6,POC-162,May
D7,POC-164,May
D8,POC-164,May
D9,POC-165,May
D10,POC-165,May
D11,POC-166,May
D12,POC-166,May
E1,POC-167,May
E2,POC-167,May
E3,POC-168,May
E4,POC-168,May
E5,POC-169,May
E6,POC-169,May
E7,POC-170,May
E8,POC-170,May
E9,POC-171,May
E10,POC-171,May
E11,POC-172,May
E12,POC-172,May
F1,POC-173,May
F2,POC-173,May
F3,POC-174,May
F4,POC-174,May
F5,POC-175,May
F6,POC-175,May
F7,POC-177,May
F8,POC-177,May
F9,POC-178,May
F10,POC-178,May
F11,POC-179,May
F12,POC-179,May
G1,POC-180,May
G2,POC-180,May
G3,POC-181,May
G4,POC-181,May
G5,POC-182,May
G6,POC-182,May
G7,POC-183,May
G8,POC-183,May
G9,POC-184,May
G10,POC-184,May
G11,ACR-465-MAY,NA
G12,ACR-465-MAY,NA
H1,ACR-465-JUNE,NA
H2,ACR-465-JUNE,NA
H3,ACR-465-JULY,NA
H4,ACR-465-JULY,NA
H5,NA,NA
H6,NA,NA
H7,NA,NA
H8,NA,NA
H9,NA,NA
H10,NA,NA
H11,NA,NA
H12,NA,NA
