Well,abs562
A1,NA
B1,NA
C1,NA
D1,NA
E1,1.678
F1,1.867
G1,0.835
H1,0.91
A2,NA
B2,NA
C2,NA
D2,NA
E2,1.438
F2,1.378
G2,0.67
H2,0.692
A3,NA
B3,NA
C3,NA
D3,NA
E3,1.052
F3,0.951
G3,0.828
H3,0.853
A4,NA
B4,NA
C4,NA
D4,NA
E4,0.858
F4,0.724
G4,0.407
H4,0.433
A5,NA
B5,NA
C5,NA
D5,NA
E5,0.623
F5,0.608
G5,0.757
H5,0.778
A6,NA
B6,NA
C6,NA
D6,NA
E6,0.366
F6,0.359
G6,0.563
H6,0.585
A7,NA
B7,NA
C7,NA
D7,NA
E7,0.22
F7,0.224
G7,1.052
H7,1.035
A8,NA
B8,NA
C8,NA
D8,NA
E8,0.102
F8,0.098
G8,0.708
H8,0.738
A9,NA
B9,NA
C9,NA
D9,NA
E9,0.078
F9,0.079
G9,0.609
H9,0.634
A10,NA
B10,NA
C10,NA
D10,NA
E10,0.827
F10,0.888
G10,0.98
H10,1.031
A11,NA
B11,NA
C11,NA
D11,NA
E11,0.489
F11,0.465
G11,0.75
H11,0.799
A12,NA
B12,NA
C12,NA
D12,NA
E12,0.487
F12,0.495
G12,0.52
H12,0.547
