Well,562:562
A1,2.12
B1,0.249
C1,1.295
D1,1.866
E1,1.394
F1,2.722
G1,1.756
H1,0.046
A2,2.101
B2,0.263
C2,1.325
D2,1.77
E2,1.453
F2,2.132
G2,1.472
H2,0.046
A3,1.932
B3,0.108
C3,0.687
D3,1.499
E3,1.871
F3,1.197
G3,0.959
H3,0.049
A4,1.98
B4,0.104
C4,0.661
D4,1.912
E4,1.832
F4,1.347
G4,0.947
H4,0.047
A5,1.32
B5,0.083
C5,0.849
D5,1.428
E5,1.544
F5,1.334
G5,1.456
H5,0.045
A6,1.252
B6,0.082
C6,0.961
D6,1.415
E6,1.343
F6,1.359
G6,1.465
H6,0.044
A7,0.917
B7,0.979
C7,1.302
D7,1.366
E7,1.565
F7,1.322
G7,1.333
H7,0.044
A8,0.922
B8,1.051
C8,1.396
D8,1.456
E8,1.767
F8,1.303
G8,1.52
H8,0.047
A9,0.674
B9,2.176
C9,1.478
D9,1.803
E9,1.244
F9,1.894
G9,1.554
H9,0.046
A10,0.695
B10,2.179
C10,1.497
D10,1.667
E10,1.234
F10,1.855
G10,1.644
H10,0.049
A11,0.418
B11,0.64
C11,2.958
D11,1.716
E11,1.647
F11,1.293
G11,0.047
H11,0.048
A12,0.422
B12,1.26
C12,2.687
D12,1.77
E12,1.748
F12,1.369
G12,0.044
H12,0.046
